"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"301",="1537","廣隆","156","-0.5","-0.32","10","近高","143.2","158.1","130.4","1.21","9.93","14.4","14.3","13.1","15.9","近低","48.31","2.9","2.96","2.7","3.27","近低"
"302",="8942","森鉅","60.9","+0.2","+0.33","10","近低","67.76","78.81","55.93","1.41","6.87","9.87","14.3","8.15","11.5","過高","44.29","1.25","1.53","1.26","1.78","破低"
"303",="1108","幸福","15.05","-0.05","-0.33","10","過高","11.82","14.69","9.73","1.51","0.75","15.9","14.3","13.1","19.7","近低","11.58","1.21","1.02","0.84","1.27","近高"
"304",="2065","世豐","54.7","+0.9","+1.67","8","近高","52.28","59.96","43.58","1.38","4.55","11.5","14.4","9.57","13.2","過高","31.25","1.69","1.67","1.39","1.92","近高"
"305",="8081","致新","243","0","0","10","過高","173.2","231.7","123","1.88","14.38","12","14.4","8.55","16.1","近高","62.83","2.83","2.76","1.96","3.69","高"
"306",="9911","櫻花","88","+1.2","+1.38","10","過高","58.41","66.63","49.43","1.35","4.08","14.3","14.4","12.1","16.3","近高","22.99","3.1","2.54","2.15","2.9","過高"
"307",="6279","胡連","179","+1.5","+0.85","10","過高","132.2","164","104","1.58","7.93","16.7","14.4","13.1","20.7","近低","50.23","2.69","2.63","2.07","3.27","近高"
"308",="6670","復盛應用","344","-3","-0.86","7","過高","215.5","259.7","177.8","1.46","18.32","11.8","14.4","9.7","14.2","過高","66.87","3.55","3.22","2.66","3.88","近高"
"309",="8131","福懋科","29.4","-0.4","-1.34","10","破低","36.24","41.16","31.23","1.32","2.83","12.8","14.4","11","14.5","近高","26.32","1.19","1.38","1.19","1.56","近低"
"310",="4554","橙的","29","-0.35","-1.19","9","低","28.15","37.92","21.67","1.75","0.73","38.8","14.4","29.9","52.3","破低","18.85","1.5","1.49","1.15","2.01","低"
"311",="6189","豐藝","79.4","+0.3","+0.38","10","過高","46.78","58.72","36.67","1.6","3.46","13.5","14.4","10.6","17","近高","22.69","2.83","2.06","1.62","2.59","過高"
"312",="6637","醫影","89.9","+0.2","+0.22","1","近低","102.7","152","83.1","1.83","4.47","23","14.5","18.6","34","破低","20.9","2.56","4.92","3.98","7.27","破低"
"313",="6271","同欣電","126","-2.5","-1.95","10","近低","161.8","219.2","114.1","1.92","9.17","17.6","14.5","12.4","23.9","近低","111","1.04","1.46","1.03","1.97","近低"
"314",="4536","拓凱","214","+1.5","+0.71","10","過高","153.7","198","122.8","1.61","12.29","12.5","14.5","10","16.1","近高","67.16","2.28","2.29","1.83","2.95","低"
"315",="6464","台數科","79.7","+0.3","+0.38","10","破低","101","111.7","90.65","1.23","6.67","15.2","14.5","13.6","16.8","近低","58.18","1.28","1.74","1.56","1.92","破低"
"316",="3004","豐達科","99.9","-0.6","-0.6","10","過高","74.19","95.11","57.86","1.64","3.98","18.6","14.5","14.5","23.9","破低","38.39","2.03","1.93","1.51","2.48","近高"
"317",="3611","鼎翰","217","-1","-0.46","10","低","220.7","264.2","180","1.47","18.57","11.9","14.5","9.69","14.2","過高","90.66","2.01","2.43","1.99","2.91","近低"
"318",="2107","厚生","26.35","+0.1","+0.38","10","過高","20.97","24.5","18.28","1.34","1.77","11.8","14.6","10.3","13.8","過高","32.8","0.6","0.64","0.56","0.75","近低"
"319",="4961","天鈺","235","+1","+0.43","7","近高","170","263.2","110.3","2.39","13.24","12.8","14.6","8.33","19.9","高","79.27","1.59","2.14","1.39","3.32","近低"
"320",="8279","生展","129.5","0","0","9","低","133.9","165.6","107.8","1.54","8.86","15.1","14.6","12.2","18.7","低","65.87","1.57","2.03","1.64","2.51","破低"
"321",="5011","久陽","21.35","-0.05","-0.23","10","近低","24.95","34.04","18.69","1.82","1.35","18.5","14.6","13.8","25.2","近低","19.99","0.94","1.25","0.93","1.7","近低"
"322",="2442","新美齊","27.5","-0.05","-0.18","10","過高","15.3","20.62","11.67","1.77","1.17","13.1","14.6","9.97","17.6","近高","14.36","1.58","1.07","0.81","1.44","過高"
"323",="6592","和潤企業","82","+0.2","+0.24","6","破低","105.2","126.5","82.51","1.53","5.95","17.7","14.6","13.9","21.3","近低","45.23","1.6","2.32","1.82","2.8","破低"
"324",="2441","超豐","64.3","+0.6","+0.94","10","近高","56.46","67.27","44.78","1.5","4.77","11.8","14.6","9.38","14.1","過高","34.4","1.63","1.64","1.3","1.96","近高"
"325",="4535","至興","34.8","-0.05","-0.14","10","近低","35.24","39.57","30.94","1.28","2.19","16.1","14.7","14.2","18.1","近低","30.6","1.06","1.15","1.01","1.29","近低"
"326",="6412","群電","127","-2","-1.55","10","過高","83.85","111.3","66","1.69","6.06","13.8","14.7","10.9","18.4","近高","26.55","3.43","3.16","2.49","4.19","近高"
"327",="4754","國碳科","41.9","-0.3","-0.71","9","近低","42.81","52.19","37","1.41","2.58","16.6","14.7","14.4","20.3","近低","16.23","2.54","2.64","2.28","3.22","近低"
"328",="5007","三星","54.6","0","0","10","近低","54.71","60.64","49.67","1.22","3.26","16.8","14.7","15.3","18.6","破低","21.95","2.31","2.49","2.26","2.76","近低"
"329",="2029","盛餘","26.35","+0.5","+1.93","10","低","26.11","35.61","20.54","1.73","1.72","15.1","14.7","11.9","20.7","低","28.9","0.85","0.9","0.71","1.23","近低"
"330",="3712","永崴投控","66","-0.6","-0.9","7","過高","35.19","50.32","25.22","2","1.29","27.4","14.7","19.6","39.1","破低","31.44","1.6","1.12","0.8","1.6","過高"
"331",="2373","震旦行","65.6","-0.2","-0.3","10","破低","80.12","88.69","72.76","1.22","5.66","14.2","14.7","12.9","15.7","近高","31.92","1.97","2.51","2.28","2.78","破低"
"332",="5310","天剛","47.25","-0.35","-0.74","10","過高","28.08","42.83","18.78","2.28","-1.52","-18.5","14.8","-12.4","-28.2","","6.75","5.08","4.16","2.78","6.35","高"
"333",="2313","華通","68.2","-0.9","-1.3","10","過高","45.62","61.54","34.76","1.77","3.8","12","14.8","9.14","16.2","近高","25.76","1.91","1.77","1.35","2.39","高"
"334",="1709","和益","21.65","-0.1","-0.46","10","近高","19.7","24.31","16.33","1.49","1.35","14.6","14.8","12.1","18","低","15.77","1.1","1.25","1.04","1.54","近低"
"335",="4736","泰博","138.5","-4.5","-3.15","10","近低","169.5","221.6","133.9","1.66","16.68","10.2","14.8","8.02","13.3","過高","73.09","1.52","2.32","1.83","3.03","破低"
"336",="3715","定穎投控","60.6","-1.5","-2.42","3","高","52.41","84.78","31.09","2.73","2.75","19.1","14.9","11.3","30.9","低","23.44","2.18","2.24","1.33","3.62","低"
"337",="5212","凌網","59.8","-0.5","-0.83","10","過高","43.8","57.29","34.85","1.64","2.46","17.8","14.9","14.2","23.3","近低","13.47","3.99","3.25","2.59","4.25","近高"
"338",="3703","欣陸","31.85","+0.15","+0.47","10","過高","23.01","29.5","18.62","1.58","1.85","12.5","14.9","10.1","16","近高","29.58","0.94","0.78","0.63","1","近高"
"339",="3570","大塚","181","-14.5","-7.42","10","過高","99.14","120.3","78.33","1.54","8.05","12.3","14.9","9.73","14.9","近高","42.49","3.28","2.33","1.84","2.83","過高"
"340",="8299","群聯","559","+7","+1.27","10","過高","388.6","528.4","282.4","1.87","28.51","13.6","14.9","9.91","18.5","近高","171.4","2.43","2.27","1.65","3.08","高"
"341",="4766","南寶","328","-3","-0.91","7","過高","193.6","254.1","155.2","1.64","12.17","15.9","14.9","12.8","20.9","近低","102.3","2.85","1.89","1.52","2.48","過高"
"342",="6671","三能-KY","43.95","+0.1","+0.23","7","近高","42.62","47.74","36.9","1.29","3.26","13.1","14.9","11.3","14.6","過高","27.62","1.53","1.54","1.34","1.73","近高"
"343",="6856","鑫傳","64","+0.1","+0.16","2","近低","67.22","75.3","60.97","1.24","4.52","14.9","14.9","13.5","16.7","近低","24.15","2.36","2.78","2.52","3.12","破低"
"344",="6491","晶碩","382","-7.5","-1.93","6","低","382.8","503.5","281.2","1.79","14.47","26.5","14.9","19.4","34.8","破低","74.04","2.82","5.17","3.8","6.8","破低"
