"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"171",="3709","鑫聯大投控","29.9","-0.65","-2.13","8","近高","25.38","36.23","19.87","1.82","2.21","11.5","12.3","9","16.4","低","19.92","1.29","1.27","1","1.82","低"
"172",="1603","華電","36.8","-0.75","-2","10","近高","29.18","38.69","24.69","1.57","1.94","15","12.3","12.7","19.9","破低","31.49","0.84","0.93","0.78","1.23","近低"
"173",="1583","程泰","64.8","+0.1","+0.15","10","近高","62.52","72.74","54.71","1.33","4.74","13.2","12.3","11.6","15.4","近低","43.91","1.26","1.42","1.25","1.66","近低"
"174",="3622","洋華","62.2","-0.7","-1.11","10","過高","32.25","45.92","24.07","1.91","2.03","15.9","12.4","11.8","22.6","近低","36.61","1.31","0.88","0.66","1.25","過高"
"175",="5206","坤悅","46.5","+0.4","+0.87","10","過高","20.2","26.56","15.36","1.73","1.43","14.1","12.4","10.7","18.5","近低","17.93","2.26","1.13","0.86","1.48","過高"
"176",="2355","敬鵬","35","-1.95","-5.28","10","近低","38.09","50.47","30.53","1.65","1.84","20.7","12.4","16.6","27.4","破低","40.22","0.82","0.95","0.76","1.25","近低"
"177",="2371","大同","42.8","-0.8","-1.83","10","近高","31.78","43.85","23.76","1.85","0.64","49.8","12.4","37.3","68.7","破低","17.66","1.6","1.8","1.35","2.48","近低"
"178",="9941","裕融","119.5","-0.5","-0.42","10","近低","149","188.3","109.6","1.72","10.5","14.2","12.4","10.4","17.9","近低","49.04","2.06","3.04","2.23","3.84","破低"
"179",="4930","燦星網","31.6","-0.05","-0.16","10","過高","20.93","28.37","17.04","1.66","1.69","12.4","12.4","10.1","16.8","低","32.29","0.77","0.65","0.53","0.88","近高"
"180",="3501","維熹","62.4","-0.5","-0.79","10","過高","52.39","61.91","45.41","1.36","4.69","11.2","12.5","9.69","13.2","近高","51.37","1.07","1.02","0.88","1.21","近高"
"181",="6790","永豐實","42.5","+0.35","+0.83","4","近低","44.26","52.3","38.36","1.36","3.38","13.1","12.5","11.4","15.5","近低","20.05","2.05","2.21","1.91","2.61","近低"
"182",="2439","美律","115.5","+3.5","+3.12","10","低","118.1","151.7","91.03","1.67","8.42","14","12.5","10.8","18","近低","58.99","1.62","2","1.54","2.57","近低"
"183",="6005","群益證","27.1","-0.25","-0.91","10","過高","13.98","17.24","10.82","1.59","1.3","10.7","12.5","8.31","13.2","近高","16.24","1.39","0.86","0.67","1.06","過高"
"184",="2461","光群雷","20.5","0","0","10","近高","19.74","24.9","15.76","1.58","1.07","18.5","12.5","14.8","23.4","破低","17.49","1.07","1.13","0.9","1.42","近低"
"185",="2887","台新金","17.4","0","0","10","近高","15.95","18.32","13.46","1.36","1.23","13","12.5","10.9","14.9","近低","15.74","1.07","1.01","0.86","1.16","近高"
"186",="6192","巨路","110","+1","+0.92","10","過高","75.71","89.74","63.81","1.41","7.08","10.7","12.6","9.02","12.7","近高","51.41","1.57","1.47","1.24","1.75","近高"
"187",="1336","台翰","23.65","+0.3","+1.28","10","近高","20.03","26.67","16.29","1.64","1.22","16.5","12.6","13.4","21.9","破低","20.88","0.97","0.96","0.78","1.28","低"
"188",="9960","邁達康","26.3","0","0","10","近低","28.14","33.46","24.99","1.34","1.83","15.3","12.6","13.6","18.3","破低","15.57","1.39","1.81","1.6","2.15","破低"
"189",="3038","全台","29","+0.15","+0.52","10","過高","20.53","27.25","15.67","1.74","1.75","11.7","12.7","8.97","15.6","近高","13.56","1.61","1.51","1.16","2.01","近高"
"190",="2812","台中銀","19","+0.2","+1.06","10","過高","13.58","15.24","11.8","1.29","1.23","11","12.7","9.57","12.4","過高","14.14","1.28","0.96","0.83","1.08","過高"
"191",="8112","至上","64","+0.3","+0.47","10","過高","45.41","61.39","35.95","1.71","4.65","9.76","12.7","7.73","13.2","近高","25.6","1.94","1.77","1.4","2.4","近高"
"192",="5609","中菲行","82.8","-0.4","-0.48","10","近高","65.27","87.97","49.84","1.77","8.94","7.3","12.7","5.57","9.84","過高","28.79","2.01","2.27","1.73","3.06","近低"
"193",="6194","育富","37.8","-0.4","-1.05","10","過高","26.35","34.51","20.7","1.67","0.89","29.7","12.7","23.4","39","破低","30.21","0.96","0.87","0.69","1.14","近高"
