排名,代號,名稱_x,成交_x,漲跌價_x,漲跌幅_x,統計年數_x,股價目前落點,歷年股價平均,歷年股價高點平均,歷年股價低點平均,股價高低價差(倍),平均EPS,平均PER,目前PER,平均最低PER,平均最高PER,PER目前落點,平均BPS,目前PBR,平均PBR,平均最低PBR,平均最高PBR,PBR目前落點,名稱_y,成交_y,漲跌價_y,漲跌幅_y,統計年數_y,平均營收(億),營收成長(%),平均毛利(億),毛利成長(%),平均毛利(%),平均營益(億),營益成長(%),平均營益(%),平均淨利(億),淨利成長(%),平均淨利(%),平均ROA(%),平均ROA增減,平均ROE(%),平均ROE增減,平均EPS(元),平均EPS增減,平均財報評分
633.0,"=""1717""",長興,28.9,-0.05,-0.17,10.0,近低,31.58,37.42,27.03,1.38,1.98,15.9,19.4,13.6,18.9,過高,19.29,1.25,1.64,1.4,1.94,破低,長興,28.9,-0.05,-0.17,30.0,397,1.91,78,1.7,19.7,26.1,-1.63,6.58,21.7,-1.52,5.43,4.71,-0.25,10.8,-0.52,2.07,-0.08,42.0
,"=""1718""",,,,,,,,,,,,,,,,,,,,,,,中纖,7.39,-0.09,-1.2,30.0,330,2.17,102,5.0,31.1,30.8,7.61,9.34,1.84,-48.9,7.34,0.45,0.01,5.35,0.09,0.19,-0.14,46.0
231.0,"=""1720""",生達,62.8,0.3,0.48,10.0,過高,47.34,58.63,41.32,1.42,3.71,12.8,13.2,11.2,15.8,近低,25.89,1.9,1.83,1.6,2.26,近低,生達,62.8,0.3,0.48,31.0,40.5,8.09,17.8,8.02,43.9,6.3,14.3,15.6,4.46,9.59,13.5,8.04,0.36,11.7,0.35,2.6,0.2,63.0
,"=""1721""",,,,,,,,,,,,,,,,,,,,,,,三晃,15.9,0.05,0.32,30.0,28.4,-3.7,2.33,-18.5,8.19,-0.22,-221.0,-0.76,0.29,-49.8,1.33,1.08,-1.26,2.08,-2.27,0.08,-0.17,38.0
978.0,"=""1722""",台肥,53.6,-0.2,-0.37,10.0,近低,55.47,65.93,46.65,1.41,2.65,21.0,30.6,17.6,24.9,過高,53.25,0.96,1.04,0.88,1.24,近低,台肥,53.6,-0.2,-0.37,27.0,137,1.63,23,7.96,16.8,10.6,15.5,7.76,24,6.26,17.5,3.43,0.13,4.84,0.21,2.47,0.14,49.0
609.0,"=""1723""",中碳,98.8,-0.3,-0.3,10.0,破低,114.9,133.9,101.5,1.32,5.47,21.0,19.0,18.5,24.5,近低,32.32,2.79,3.56,3.14,4.14,破低,中碳,98.8,-0.3,-0.3,28.0,72.2,1.12,18.8,-0.05,26.1,14.9,-1.2,20.6,13.9,-0.09,19.4,16.1,-0.7,21.1,-0.81,6.13,-0.03,67.0
736.0,"=""1725""",元禎,38.15,0.6,1.6,10.0,過高,22.32,32.23,16.35,1.97,1.29,17.3,21.7,12.7,24.9,近高,20.6,1.27,1.08,0.79,1.56,近高,元禎,38.15,0.6,1.6,28.0,94.8,-3.03,4.12,-0.93,4.35,1.8,-1.13,1.9,1.91,1.04,2.01,3.56,-0.1,6.58,-0.4,1.17,-0.02,43.0
360.0,"=""1726""",永記,77.4,0.1,0.13,10.0,近高,74.59,78.74,69.35,1.14,5.12,14.6,15.1,13.6,15.4,近高,55.37,1.26,1.35,1.25,1.42,近低,永記,77.4,0.1,0.13,27.0,80.1,2.21,19.9,2.46,24.8,9.43,0.49,11.8,7.86,1.19,9.8,8.87,-0.17,10.9,-0.26,4.87,0.04,57.0
1262.0,"=""1727""",中華化,29.7,-0.15,-0.5,10.0,近高,23.98,37.09,17.44,2.13,0.6,40.0,78.2,29.1,61.9,過高,14.39,1.81,1.67,1.21,2.58,低,中華化,29.7,-0.15,-0.5,28.0,20.9,0.59,2.83,-0.3,13.6,0.87,-3.09,4.17,0.76,-1.86,3.62,3.33,-0.23,5.45,-0.4,0.77,-0.03,39.0
292.0,"=""1730""",花仙子,55.7,-0.2,-0.36,10.0,近低,59.22,70.38,51.19,1.37,4.22,14.0,14.1,12.1,16.7,近低,27.38,1.81,2.16,1.87,2.57,破低,花仙子,55.7,-0.2,-0.36,28.0,22.6,3.18,10.2,3.85,45.4,2.39,5.32,10.6,1.89,4.89,9.09,10.5,0.17,15.2,0.08,3.14,0.12,62.0
569.0,"=""1731""",美吾華,23.9,0.05,0.21,10.0,過高,18.41,22.7,16.05,1.41,1.1,16.7,18.2,14.6,20.6,近高,14.61,1.53,1.26,1.1,1.55,近高,美吾華,23.9,0.05,0.21,29.0,15.1,-4.5,7.16,5.02,47.3,1.43,8.8,9.46,1.02,7.16,6.81,4.4,0.25,6.31,0.33,0.81,0.04,53.0
1351.0,"=""1732""",毛寶,28.9,0.1,0.35,10.0,高,24.36,36.26,18.82,1.93,0.23,108.0,152.0,83.5,161.0,近高,10.95,2.49,2.22,1.72,3.31,低,毛寶,28.9,0.1,0.35,28.0,6,-1.1,2.49,-1.97,41.5,0.08,-20.3,1.27,0.08,-13.4,1.33,1.22,-0.29,1.6,-0.38,0.19,-0.03,52.0
826.0,"=""1733""",五鼎,30.85,0.3,0.98,10.0,低,29.14,37.7,25.07,1.5,1.32,22.1,24.1,19.0,28.6,近高,17.56,1.69,1.66,1.43,2.15,近低,五鼎,30.85,0.3,0.98,28.0,18.5,1.4,5.53,-0.03,29.9,2.56,-5.12,13.8,2.11,-3.29,11.4,9.37,-0.71,12.5,-0.86,2.27,-0.11,58.0
496.0,"=""1734""",杏輝,31.45,-0.05,-0.16,10.0,低,29.41,39.83,24.3,1.64,0.63,46.8,17.1,38.7,63.4,破低,17.49,1.79,1.68,1.39,2.28,低,杏輝,31.45,-0.05,-0.16,27.0,23.4,3.84,8.84,3.31,37.8,0.13,225.0,0.57,0.98,32.0,1.0,0.55,0.41,0.98,0.78,0.68,0.12,49.0
687.0,"=""1735""",日勝化,19.55,0.0,0.0,10.0,近高,16.65,20.78,14.59,1.42,0.59,28.3,20.4,24.8,35.3,破低,14.68,1.25,1.13,0.99,1.42,近高,日勝化,19.55,0.0,0.0,27.0,35.3,-1.82,4.86,0.35,13.8,1.06,-1.27,3.01,0.66,-0.61,1.72,2.23,-0.13,4.53,-0.16,0.75,-0.04,35.0
