排名,代號,名稱_x,成交_x,漲跌價_x,漲跌幅_x,統計年數_x,股價目前落點,歷年股價平均,歷年股價高點平均,歷年股價低點平均,股價高低價差(倍),平均EPS,平均PER,目前PER,平均最低PER,平均最高PER,PER目前落點,平均BPS,目前PBR,平均PBR,平均最低PBR,平均最高PBR,PBR目前落點,名稱_y,成交_y,漲跌價_y,漲跌幅_y,統計年數_y,平均營收(億),營收成長(%),平均毛利(億),毛利成長(%),平均毛利(%),平均營益(億),營益成長(%),平均營益(%),平均淨利(億),淨利成長(%),平均淨利(%),平均ROA(%),平均ROA增減,平均ROE(%),平均ROE增減,平均EPS(元),平均EPS增減,平均財報評分
413.0,"=""2211""",長榮鋼,95.5,0.6,0.63,4.0,近高,85.04,116.1,64.25,1.81,5.35,15.9,16.0,12.0,21.7,低,51.41,1.53,1.65,1.25,2.26,低,長榮鋼,95.5,0.6,0.63,23.0,108,1.08,25.7,15.2,23.8,20,21.0,18.6,18.2,36.2,20.8,8.25,0.99,10.8,1.32,4.46,1.13,61.0
502.0,"=""2221""",大甲,29.15,-0.2,-0.68,10.0,近低,31.89,40.42,25.77,1.57,3.13,10.2,17.1,8.24,12.9,過高,20.39,1.24,1.56,1.26,1.98,破低,,,,,,,,,,,,,,,,,,,,,,,
543.0,"=""2227""",裕日車,80.0,-2.0,-2.44,10.0,破低,216.5,254.0,176.7,1.44,14.05,15.4,17.9,12.6,18.1,近高,67.03,1.31,3.23,2.64,3.79,破低,裕日車,80.0,-2.0,-2.44,21.0,295,-0.81,42.5,-2.57,14.4,7.9,-8.25,2.68,42.8,-5.07,14.5,15.8,-0.87,20.6,-1.16,14.26,-0.76,56.0
112.0,"=""2228""",劍麟,99.9,1.1,1.11,10.0,低,96.01,125.3,75.4,1.66,5.84,16.5,11.2,12.9,21.5,破低,51.64,1.57,1.86,1.46,2.43,近低,劍麟,99.9,1.1,1.11,19.0,38.1,5.2,10.4,3.49,27.1,4.61,3.79,12.1,4.23,3.99,11.1,10.5,-0.43,14.0,-0.46,5.79,0.17,59.0
607.0,"=""2230""",泰茂,115.0,-4.0,-3.36,10.0,過高,60.94,87.11,35.58,2.45,1.02,59.8,19.0,34.9,85.4,破低,13.4,5.18,4.55,2.65,6.5,高,,,,,,,,,,,,,,,,,,,,,,,
1221.0,"=""2231""",為升,95.5,-1.3,-1.34,10.0,破低,185.8,246.4,137.3,1.79,5.66,32.8,62.8,24.3,43.5,過高,29.78,3.23,6.24,4.61,8.28,破低,為升,95.5,-1.3,-1.34,18.0,34.9,6.49,15.6,3.68,44.7,7.47,-5.81,21.4,6.62,-4.64,17.4,12.1,-1.85,19.4,-2.74,6.26,-0.58,63.0
654.0,"=""2233""",宇隆,217.5,-5.5,-2.47,10.0,過高,107.0,153.6,82.84,1.85,7.89,13.6,19.7,10.5,19.5,過高,50.86,3.38,2.1,1.63,3.02,過高,宇隆,217.5,-5.5,-2.47,15.0,26.4,7.06,9.08,5.59,34.4,4.71,3.79,17.8,4.23,7.14,15.7,11.0,-0.27,16.0,-0.5,7.51,0.11,62.0
751.0,"=""2235""",謚源,48.4,0.55,1.15,10.0,近低,54.83,68.06,46.1,1.48,3.11,17.6,22.1,14.8,21.8,過高,35.25,1.35,1.56,1.31,1.93,近低,,,,,,,,,,,,,,,,,,,,,,,
1406.0,"=""2236""",百達-KY,123.5,-2.5,-1.98,10.0,過高,47.2,69.14,30.03,2.3,2.05,23.0,823.0,14.6,33.7,過高,27.36,3.88,1.72,1.1,2.53,過高,百達-KY,123.5,-2.5,-1.98,12.0,16.5,2.22,4.61,5.33,28.0,1.43,4.26,8.69,0.91,10.4,5.94,4.68,-0.02,7.81,-0.04,2.21,0.08,45.0
1084.0,"=""2239""",英利-KY,38.5,-0.3,-0.77,9.0,破低,82.87,107.4,59.85,1.8,5.16,16.0,39.3,11.6,20.8,過高,91.78,0.38,0.9,0.65,1.17,破低,英利-KY,38.5,-0.3,-0.77,11.0,209,5.87,32.2,0.51,15.4,10.4,-10.4,4.99,6.17,-16.3,3.98,3.38,-0.89,7.46,-1.92,5.47,-1.14,42.0
,"=""2241""",,,,,,,,,,,,,,,,,,,,,,,艾姆勒,31.15,-0.75,-2.35,11.0,7.64,1.25,0.68,-20.8,8.84,-1.16,-38.0,-15.2,-1.15,-37.9,-16.1,-4.07,-1.51,-7.22,-2.34,-1.16,-0.3,35.0
,"=""2243""",,,,,,,,,,,,,,,,,,,,,,,宏旭-KY,17.45,-0.15,-0.85,10.0,16.3,-1.11,0.9,-34.1,5.54,-0.71,-103.0,-4.34,-0.98,-51.5,-6.01,-2.8,-1.02,-15.5,-6.09,-1.86,-0.54,19.0
240.0,"=""2247""",汎德永業,309.0,5.5,1.81,5.0,過高,266.6,306.3,230.4,1.33,16.22,16.4,13.4,14.2,18.9,破低,144.2,1.94,1.85,1.6,2.12,近高,汎德永業,309.0,5.5,1.81,9.0,414,7.49,48.9,7.49,11.8,15.6,13.0,3.77,12.6,14.1,3.05,7.19,-0.1,11.9,0.26,16.22,1.6,52.0
715.0,"=""2250""",IKKA-KY,135.5,-4.5,-3.21,4.0,過高,91.87,134.9,73.11,1.85,4.53,20.3,21.1,16.1,29.8,低,55.21,2.2,1.66,1.32,2.44,近高,IKKA-KY,135.5,-4.5,-3.21,6.0,37.5,-1.63,6.57,0.65,17.5,1.65,0.54,4.4,1.16,0.79,3.42,3.8,-0.31,10.8,-2.23,4.53,-0.33,43.0
,"=""2254""",,,,,,,,,,,,,,,,,,,,,,,巨鎧精密-創,71.0,-0.1,-0.14,6.0,7.15,-11.7,2.25,-20.3,31.4,0.28,-76.8,3.93,0.18,-81.0,2.5,1.63,-4.66,6.61,-14.5,0.91,-2.38,46.0
,"=""2258""",,,,,,,,,,,,,,,,,,,,,,,鴻華先進-創,47.7,-0.35,-0.73,4.0,5.44,274.0,1.01,100.0,18.6,-17.2,-58.3,-316.0,-13.8,-59.2,-255.0,-8.44,-2.58,-9.04,-2.93,-0.87,-0.32,49.0
662.0,"=""2301""",光寶科,107.0,-5.0,-4.46,10.0,過高,69.96,89.85,55.26,1.63,5.01,14.0,19.9,11.0,18.0,過高,34.3,2.86,2.04,1.61,2.62,過高,光寶科,107.0,-5.0,-4.46,31.0,"1,920",-0.7,292,1.52,15.2,106,3.1,5.52,90.5,4.01,4.98,5.35,0.02,13.0,-0.11,3.97,0.1,46.0
1159.0,"=""2302""",麗正,21.3,-0.35,-1.62,10.0,過高,14.42,20.02,11.31,1.77,0.44,32.5,49.5,25.5,45.2,過高,10.47,1.96,1.38,1.08,1.91,過高,麗正,21.3,-0.35,-1.62,30.0,9.53,-3.01,1.76,-1.74,18.5,-0.31,-7.63,-3.23,-0.92,-13.1,-9.72,-1.85,0.02,-2.77,0.0,-0.38,-0.06,45.0
129.0,"=""2303""",聯電,43.7,0.1,0.23,10.0,近高,37.51,48.61,28.98,1.68,3.59,10.4,11.5,8.07,13.5,近高,23.83,1.45,1.57,1.22,2.04,近低,聯電,43.7,0.1,0.23,31.0,"1,510",5.2,393,7.69,26.0,211,11.5,14.0,244,8.33,15.3,5.56,0.19,8.5,0.29,1.93,0.13,61.0
1376.0,"=""2305""",全友,14.5,-0.35,-2.36,10.0,低,14.41,21.09,9.88,2.13,0.23,61.8,207.0,42.4,90.5,過高,10.56,1.3,1.37,0.94,2.0,低,全友,14.5,-0.35,-2.36,30.0,18.9,-7.35,4.49,-8.47,23.8,-2.25,1.26,-11.9,-0.73,-51.5,-3.61,-0.6,-0.33,-2.22,-0.74,-0.16,-0.06,46.0
959.0,"=""2308""",台達電,402.0,3.0,0.75,10.0,過高,249.4,305.7,199.8,1.53,10.89,22.9,29.6,18.3,28.1,過高,66.6,4.54,3.74,3.0,4.59,近高,台達電,402.0,3.0,0.75,31.0,"2,375",8.57,659,11.6,27.7,238,10.6,10.0,206,7.79,9.49,9.24,-0.15,16.9,-0.2,8.33,0.5,55.0
921.0,"=""2312""",金寶,26.25,-0.2,-0.76,10.0,過高,14.12,19.78,11.31,1.75,0.43,32.7,27.3,26.2,45.8,近低,12.13,1.76,1.16,0.93,1.63,過高,金寶,26.25,-0.2,-0.76,30.0,896,8.27,58,6.88,6.47,13.6,9.69,1.52,4.97,-1.1,0.68,1.24,-0.19,2.94,-0.28,0.41,-0.03,32.0
333.0,"=""2313""",華通,68.2,-0.9,-1.3,10.0,過高,45.62,61.54,34.76,1.77,3.8,12.0,14.8,9.14,16.2,近高,25.76,1.91,1.77,1.35,2.39,高,華通,68.2,-0.9,-1.3,30.0,421,6.5,64.9,6.47,15.4,37.6,5.53,8.94,24.4,9.03,5.81,4.12,0.14,9.35,0.31,2.09,0.14,42.0
,"=""2314""",,,,,,,,,,,,,,,,,,,,,,,台揚,33.25,-0.6,-1.77,30.0,58.8,-0.84,8.6,-2.46,14.6,-1.93,-18.9,-3.27,-2.07,-20.5,-3.51,-2.81,-0.57,-8.54,-1.51,-0.68,-0.16,37.0
18.0,"=""2316""",楠梓電,48.3,-0.8,-1.63,10.0,過高,30.55,42.03,22.62,1.86,3.06,9.97,6.8,7.38,13.7,破低,38.76,0.91,0.79,0.58,1.08,近高,楠梓電,48.3,-0.8,-1.63,30.0,73.5,-2.7,6.32,-9.43,8.6,0.78,-39.7,1.06,4.58,6.37,6.01,3.65,0.09,6.13,0.08,1.71,0.15,40.0
362.0,"=""2317""",鴻海,174.0,-6.5,-3.6,10.0,過高,109.1,133.0,86.21,1.54,9.1,12.0,15.1,9.48,14.6,過高,91.17,1.51,1.2,0.95,1.46,過高,鴻海,174.0,-6.5,-3.6,30.0,"45,893",5.77,"3,001",4.64,6.54,"1,286",4.16,2.8,"1,183",3.97,2.7,5.25,-0.3,12.9,-0.69,8.84,0.1,40.0
,"=""2321""",,,,,,,,,,,,,,,,,,,,,,,東訊,15.35,-0.05,-0.32,30.0,56.5,-8.78,4.46,-11.3,7.89,-1.96,-6.32,-3.46,-1.49,-2.91,-3.4,-3.72,-0.14,-11.1,-0.6,-0.51,-0.05,30.0
50.0,"=""2323""",中環,10.05,-0.15,-1.47,10.0,近高,8.46,12.07,6.43,1.88,-0.07,-127.0,9.39,-96.4,-181.0,,14.12,0.6,0.6,0.46,0.85,低,中環,10.05,-0.15,-1.47,30.0,192,-3.74,20.2,-9.53,10.5,-5.68,-41.5,-2.97,-11.1,-3.42,-6.14,-2.14,-0.05,-3.11,-0.22,-0.34,-0.04,42.0
497.0,"=""2324""",仁寶,38.8,-0.85,-2.14,10.0,過高,24.89,29.89,20.82,1.44,1.95,12.8,17.1,10.7,15.3,過高,25.36,1.31,0.98,0.82,1.18,過高,仁寶,38.8,-0.85,-2.14,30.0,"8,184",3.53,337,3.49,4.12,123,-0.05,1.51,92.9,-1.1,1.24,3.47,-0.28,10.0,-0.46,2.31,-0.08,37.0
281.0,"=""2327""",國巨,566.0,-17.0,-2.92,10.0,近高,439.4,620.6,319.5,1.94,34.76,12.6,14.0,9.19,17.9,高,177.0,1.87,2.48,1.8,3.51,近低,國巨,566.0,-17.0,-2.92,30.0,311,8.88,96.5,8.23,31.1,52.5,9.15,16.9,34.6,13.7,11.1,3.57,0.07,6.96,0.23,6.55,0.88,50.0
739.0,"=""2328""",廣宇,43.55,-0.6,-1.36,10.0,過高,31.27,39.0,25.02,1.56,1.96,16.0,21.8,12.8,19.9,過高,22.85,1.59,1.37,1.1,1.71,近高,廣宇,43.55,-0.6,-1.36,30.0,194,4.03,19.5,6.3,10.1,8.4,9.08,4.33,6.99,8.65,4.41,4.2,0.22,6.55,0.54,1.39,0.11,43.0
726.0,"=""2329""",華泰,36.55,-1.55,-4.07,10.0,近高,24.48,39.96,15.9,2.51,1.29,19.0,21.4,12.3,31.0,低,12.25,2.34,2.0,1.3,3.26,高,華泰,36.55,-1.55,-4.07,31.0,138,1.57,12.3,6.48,8.97,2.14,42.2,1.55,-1.46,17.9,-1.01,0.61,0.24,-0.84,0.34,0.0,0.04,38.0
874.0,"=""2330""",台積電,1040.0,-20.0,-1.89,10.0,過高,504.2,615.6,372.9,1.65,27.93,18.1,26.0,13.4,22.0,過高,103.2,6.76,4.88,3.61,5.96,過高,台積電,1040.0,-20.0,-1.89,31.0,"10,838",16.7,"5,683",18.7,52.4,"4,506",19.6,41.6,"4,050",18.7,37.4,18.4,0.13,25.7,0.44,15.7,2.42,90.0
,"=""2331""",,,,,,,,,,,,,,,,,,,,,,,精英,22.1,0.2,0.91,31.0,505,-2.72,40.4,-2.66,8.0,1.77,-26.5,0.35,4.75,-4.16,0.93,1.51,-0.13,3.06,-0.33,0.67,-0.12,40.0
1395.0,"=""2332""",友訊,21.05,-2.05,-8.87,10.0,近高,16.63,23.74,12.72,1.87,0.26,64.8,351.0,49.5,92.4,過高,14.52,1.4,1.15,0.88,1.63,近高,友訊,21.05,-2.05,-8.87,31.0,237,-2.39,67.7,-2.89,28.6,4.07,-12.0,1.72,4.7,-8.71,2.33,2.55,-0.22,4.36,-0.42,0.81,-0.1,44.0
,"=""2337""",,,,,,,,,,,,,,,,,,,,,,,旺宏,22.0,-0.2,-0.9,30.0,248,0.52,74.9,0.4,30.2,10.9,-7.63,4.37,6.79,-24.5,2.54,1.72,0.09,1.81,0.22,0.67,-0.14,53.0
925.0,"=""2338""",光罩,47.25,-0.45,-0.94,10.0,低,55.32,75.94,37.15,2.04,2.36,23.4,27.5,15.7,32.2,近高,19.05,1.99,2.9,1.95,3.99,近低,光罩,47.25,-0.45,-0.94,30.0,37.7,11.6,8.62,13.5,22.8,3.28,12.5,8.7,3.78,-1.05,8.54,2.6,-0.32,6.06,-0.4,1.49,-0.02,49.0
,"=""2340""",,,,,,,,,,,,,,,,,,,,,,,台亞,28.15,-0.95,-3.26,31.0,57.7,-1.6,14.5,-3.21,25.1,4.86,-9.77,8.42,2.54,-14.6,4.26,3.01,-0.4,4.05,-0.63,0.62,-0.11,51.0
,"=""2342""",,,,,,,,,,,,,,,,,,,,,,,茂矽,30.8,-0.45,-1.44,30.0,125,4.65,-4.61,-161.0,-3.7,-31.4,-2.9,-25.2,-35.6,1.01,-28.8,-10.2,-2.01,-22.4,-3.04,-1.29,-0.28,33.0
1338.0,"=""2344""",華邦電,18.7,0.1,0.54,10.0,低,22.22,30.54,15.47,1.97,1.18,18.8,134.0,13.1,25.8,過高,19.28,0.92,1.15,0.8,1.58,近低,華邦電,18.7,0.1,0.54,31.0,490,5.62,150,5.65,30.6,29.6,-2.67,6.04,21.2,-6.21,5.11,2.22,-0.11,3.38,-0.18,0.57,-0.07,51.0
1076.0,"=""2345""",智邦,673.0,-22.0,-3.17,10.0,過高,284.6,396.8,198.9,2.0,9.81,29.0,38.6,20.3,40.5,近高,28.79,12.9,9.88,6.91,13.8,近高,智邦,673.0,-22.0,-3.17,30.0,382,11.7,75.9,14.7,19.8,32.5,26.3,8.5,26.8,23.8,6.99,9.31,0.71,19.7,1.71,4.89,0.89,46.0
279.0,"=""2347""",聯強,70.5,0.0,0.0,10.0,過高,54.62,65.11,46.99,1.39,5.84,9.35,14.0,8.05,11.2,過高,35.39,1.58,1.54,1.33,1.84,近低,聯強,70.5,0.0,0.0,30.0,"3,237",3.9,129,4.99,4.0,55.9,6.95,1.73,71,2.6,2.28,5.62,-0.2,15.3,-0.33,4.56,0.04,33.0
57.0,"=""2348""",海悅,187.0,-4.0,-2.09,10.0,過高,93.52,153.2,60.16,2.55,9.91,9.44,9.6,6.07,15.5,低,33.36,4.05,2.8,1.8,4.59,近高,海悅,187.0,-4.0,-2.09,30.0,28.6,15.7,11.3,10.0,39.7,7.29,22.3,25.5,0.88,52.9,3.49,-0.6,41.4,-15.2,160.0,2.64,1.76,56.0
,"=""2349""",,,,,,,,,,,,,,,,,,,,,,,錸德,13.1,-0.25,-1.87,30.0,155,-6.36,8.58,-13.9,5.54,-16,-0.35,-10.3,-25,-1.56,-17.7,-6.27,-0.19,-10.3,-0.34,-1.1,-0.13,36.0
891.0,"=""2351""",順德,94.3,-1.2,-1.26,10.0,低,96.52,139.4,70.49,1.98,3.91,24.7,26.4,18.0,35.7,低,32.94,2.49,2.93,2.14,4.23,近低,順德,94.3,-1.2,-1.26,30.0,84.9,3.74,14.2,3.96,16.8,7.49,4.15,8.82,5.21,5.15,6.7,5.69,0.08,11.6,0.05,2.9,0.13,40.0
966.0,"=""2352""",佳世達,36.45,1.35,3.85,10.0,近高,29.11,38.97,22.01,1.77,2.67,10.9,29.9,8.25,14.6,過高,18.31,1.95,1.59,1.2,2.13,近高,佳世達,36.45,1.35,3.85,29.0,"1,622",3.9,200,6.38,12.3,18.8,-10.1,1.16,20.1,-19.0,1.63,2.16,-0.47,4.83,-1.5,1.21,-0.23,36.0
776.0,"=""2353""",宏碁,39.15,-0.7,-1.76,10.0,過高,27.96,39.01,21.86,1.78,1.54,18.2,22.9,14.2,25.4,近高,21.19,1.56,1.32,1.03,1.84,近高,宏碁,39.15,-0.7,-1.76,29.0,"3,153",-0.86,316,-0.41,10.0,47.9,-1.2,1.52,34,2.41,1.11,1.94,-0.14,5.01,-0.34,1.39,-0.06,37.0
944.0,"=""2354""",鴻準,76.3,-1.9,-2.43,10.0,近高,63.89,80.18,52.72,1.52,4.43,14.4,28.8,11.9,18.1,過高,76.11,0.98,0.84,0.69,1.05,近高,鴻準,76.3,-1.9,-2.43,29.0,"1,069",-3.23,109,-5.08,10.2,65.7,-8.22,6.15,71.2,-2.47,6.64,5.54,-0.44,8.98,-0.93,5.66,-0.26,49.0
176.0,"=""2355""",敬鵬,35.0,-1.95,-5.28,10.0,近低,38.09,50.47,30.53,1.65,1.84,20.7,12.4,16.6,27.4,破低,40.22,0.82,0.95,0.76,1.25,近低,敬鵬,35.0,-1.95,-5.28,30.0,182,-0.13,22.2,1.02,12.2,9.95,0.0,5.46,10.2,1.68,5.53,4.59,-0.07,7.12,-0.22,2.64,0.01,47.0
825.0,"=""2356""",英業達,46.5,-1.45,-3.02,10.0,過高,31.82,41.05,25.25,1.63,1.77,18.0,24.1,14.3,23.2,過高,16.1,2.48,1.98,1.57,2.55,近高,英業達,46.5,-1.45,-3.02,29.0,"4,298",3.35,206,3.99,4.78,54.3,5.02,1.26,56.2,1.88,1.13,3.01,-0.15,9.46,-0.13,1.73,-0.03,36.0
355.0,"=""2357""",華碩,682.0,-16.0,-2.29,10.0,過高,330.1,415.6,256.9,1.62,26.96,12.2,15.0,9.53,15.4,近高,274.0,1.9,1.2,0.94,1.52,過高,華碩,682.0,-16.0,-2.29,29.0,"4,997",4.08,629,3.87,12.6,199,-3.72,3.99,177,-2.49,3.86,6.32,-0.71,12.5,-1.22,13.5,-0.23,42.0
,"=""2359""",,,,,,,,,,,,,,,,,,,,,,,所羅門,157.0,-3.0,-1.88,29.0,76.2,-2.88,9.28,0.76,12.2,1.59,2.72,2.09,2.03,32.7,2.92,3.2,0.49,4.24,0.84,1.0,0.19,43.0
986.0,"=""2360""",致茂,339.5,-2.5,-0.73,10.0,過高,194.4,264.5,137.5,1.92,7.87,24.7,31.1,17.5,33.6,近高,41.29,6.19,4.71,3.33,6.41,近高,致茂,339.5,-2.5,-0.73,29.0,139,4.8,60.4,9.76,43.6,23.8,11.5,17.2,22,9.62,16.1,11.4,0.07,18.0,0.08,5.6,0.4,59.0
632.0,"=""2362""",藍天,49.45,-1.05,-2.08,10.0,過高,34.81,43.38,28.98,1.5,1.8,19.4,19.4,16.1,24.2,低,69.15,0.67,0.5,0.42,0.63,過高,藍天,49.45,-1.05,-2.08,29.0,192,3.16,47.1,1.95,24.5,14.6,3.3,7.6,11,1.17,5.74,1.86,-0.19,5.52,-0.49,1.81,-0.01,39.0
1314.0,"=""2363""",矽統,66.6,-1.2,-1.77,10.0,過高,26.51,41.71,16.84,2.48,0.15,173.0,109.0,110.0,272.0,破低,21.9,1.91,1.21,0.77,1.9,過高,矽統,66.6,-1.2,-1.77,28.0,29.1,-14.7,7.66,-11.8,26.3,-3.64,7.24,-12.5,-6.21,-17.7,-21.5,-4.49,-0.62,-5.09,-0.58,-0.49,-0.06,50.0
823.0,"=""2364""",倫飛,89.7,-1.7,-1.86,10.0,過高,16.72,28.8,10.94,2.63,-0.13,-129.0,24.0,-84.2,-222.0,,3.36,6.14,4.98,3.26,8.58,高,倫飛,89.7,-1.7,-1.86,28.0,30.6,-17.2,3.17,-14.3,10.3,-1.77,-10.9,-5.79,-2.36,5.04,-7.8,-6.57,0.25,-14.8,0.99,-0.71,0.07,33.0
1287.0,"=""2365""",昆盈,47.1,3.15,7.17,10.0,過高,15.13,23.6,9.41,2.51,0.28,53.9,88.9,33.5,84.1,過高,13.55,3.38,1.12,0.69,1.74,過高,昆盈,47.1,3.15,7.17,28.0,58.6,-7.86,11.6,-7.38,19.8,2.44,-13.2,4.16,2.24,-10.8,3.81,3.54,-0.4,5.46,-0.7,0.9,-0.12,50.0
714.0,"=""2367""",燿華,29.95,-0.5,-1.64,10.0,近高,21.52,30.49,14.97,2.04,0.13,160.0,21.1,111.0,227.0,破低,15.86,1.79,1.36,0.94,1.92,近高,燿華,29.95,-0.5,-1.64,28.0,147,1.36,17.9,-1.24,12.2,1.11,-31.0,0.76,1.7,-21.6,1.28,1.06,-0.3,2.08,-0.58,0.36,-0.1,36.0
660.0,"=""2368""",金像電,222.0,0.0,0.0,10.0,過高,87.68,123.6,60.39,2.05,3.96,22.1,19.8,15.3,31.2,低,20.92,5.43,4.19,2.89,5.91,近高,金像電,222.0,0.0,0.0,28.0,213,5.42,37.1,13.7,17.4,17.1,27.4,8.03,8.6,32.7,4.03,4.07,0.78,8.96,1.53,1.7,0.41,42.0
,"=""2369""",,,,,,,,,,,,,,,,,,,,,,,菱生,17.4,-0.1,-0.57,29.0,58.2,-0.56,5.57,-10.1,9.56,0.68,-44.2,1.17,1.3,-16.3,2.24,1.12,-0.45,1.61,-0.62,0.39,-0.08,47.0
177.0,"=""2371""",大同,42.8,-0.8,-1.83,10.0,近高,31.78,43.85,23.76,1.85,0.64,49.8,12.4,37.3,68.7,破低,17.66,1.6,1.8,1.35,2.48,近低,大同,42.8,-0.8,-1.83,30.0,"1,069",-2.27,72.4,-2.95,6.77,-61,-0.84,-5.7,-14.8,7.93,-7.52,-3.27,0.04,-10.6,0.1,-0.3,0.05,34.0
331.0,"=""2373""",震旦行,65.6,-0.2,-0.3,10.0,破低,80.12,88.69,72.76,1.22,5.66,14.2,14.7,12.9,15.7,近高,31.92,1.97,2.51,2.28,2.78,破低,震旦行,65.6,-0.2,-0.3,30.0,133,-0.05,49,1.45,37.0,8.26,1.11,6.23,8.54,-4.01,6.89,6.58,-0.35,11.9,-1.06,3.41,0.03,51.0
1061.0,"=""2374""",佳能,61.7,-1.5,-2.37,10.0,過高,23.36,34.85,16.72,2.08,0.3,76.9,36.9,55.0,115.0,破低,23.43,2.61,1.0,0.71,1.49,過高,佳能,61.7,-1.5,-2.37,30.0,201,-5.9,21,-3.31,10.5,4.74,-11.4,2.36,6.35,-5.77,3.23,3.92,-0.37,7.52,-0.86,1.58,-0.1,46.0
783.0,"=""2375""",凱美,66.2,-1.3,-1.93,10.0,低,61.17,90.3,44.71,2.02,5.02,12.2,23.1,8.9,18.0,過高,56.35,0.76,1.09,0.79,1.6,破低,凱美,66.2,-1.3,-1.93,27.0,34.9,4.75,4.96,5.6,14.2,0.48,72.2,1.37,0.51,-61.9,2.96,-0.89,-1.73,-0.72,-3.11,1.46,-0.61,39.0
679.0,"=""2376""",技嘉,258.5,-8.0,-3.0,10.0,過高,137.6,206.2,91.05,2.27,8.38,16.4,20.2,10.9,24.6,近高,48.36,3.41,2.84,1.88,4.26,高,技嘉,258.5,-8.0,-3.0,27.0,682,10.2,115,5.32,16.8,32.4,5.15,4.76,34.6,4.35,5.05,7.87,-0.17,13.0,-0.06,5.53,0.16,49.0
753.0,"=""2377""",微星,185.0,-10.5,-5.37,10.0,過高,130.0,167.2,99.96,1.67,10.0,13.0,22.1,10.0,16.7,過高,46.63,2.98,2.79,2.14,3.59,近高,微星,185.0,-10.5,-5.37,27.0,"1,162",6.38,158,5.55,13.6,57.3,6.53,4.93,49.6,5.79,4.27,7.91,0.03,15.4,-0.05,5.94,0.26,44.0
674.0,"=""2379""",瑞昱,550.0,-12.0,-2.14,10.0,過高,352.6,454.0,254.0,1.79,21.57,16.3,20.0,11.8,21.1,近高,74.79,5.88,4.71,3.4,6.07,近高,瑞昱,550.0,-12.0,-2.14,29.0,636,12.1,293,14.4,46.1,70.4,14.1,11.1,61.7,14.2,9.7,10.5,0.54,23.4,1.4,11.97,1.43,60.0
,"=""2380""",,,,,,,,,,,,,,,,,,,,,,,虹光,4.84,-0.01,-0.21,27.0,29.8,-5.25,7.39,-5.1,24.8,-1.14,-68.4,-3.82,-0.97,-86.4,-3.36,-4.68,-1.45,-9.43,-3.61,-0.47,-0.25,41.0
541.0,"=""2382""",廣達,250.5,-9.5,-3.65,10.0,過高,122.8,164.1,87.96,1.87,6.76,18.2,17.8,13.0,24.3,低,40.09,4.8,3.06,2.19,4.09,過高,廣達,250.5,-9.5,-3.65,27.0,"9,842",2.65,516,7.85,5.24,226,10.7,2.3,214,8.78,2.2,4.07,-0.08,16.3,0.25,5.74,0.35,40.0
769.0,"=""2383""",台光電,632.0,-1.0,-0.16,10.0,過高,232.4,332.0,154.3,2.15,15.71,14.8,22.7,9.82,21.1,過高,64.85,6.24,3.58,2.38,5.12,過高,台光電,632.0,-1.0,-0.16,29.0,270,17.2,66.1,22.0,24.5,42.7,24.0,15.8,31.3,24.7,11.6,11.2,0.57,22.0,1.23,9.54,1.76,52.0
257.0,"=""2385""",群光,162.5,-0.5,-0.31,10.0,過高,103.6,141.8,84.28,1.68,8.29,12.5,13.6,10.2,17.1,低,43.19,2.67,2.4,1.95,3.28,近高,群光,162.5,-0.5,-0.31,27.0,798,4.14,136,5.78,17.1,56.4,8.78,7.07,45.7,8.2,6.67,9.01,0.08,21.4,-0.27,6.92,0.39,41.0
99.0,"=""2387""",精元,69.5,4.1,6.27,10.0,過高,41.1,54.45,31.14,1.75,5.06,8.12,10.7,6.15,10.8,近高,42.76,1.31,0.96,0.73,1.27,過高,精元,69.5,4.1,6.27,28.0,147,6.73,21.4,6.83,14.6,10.4,6.17,7.1,7.45,6.44,5.26,6.36,-0.31,10.9,-0.28,3.0,0.26,44.0
1218.0,"=""2388""",威盛,91.4,-2.1,-2.25,10.0,近高,67.12,103.7,44.24,2.34,2.56,26.2,62.2,17.3,40.5,過高,17.83,2.47,3.76,2.48,5.81,破低,威盛,91.4,-2.1,-2.25,27.0,104,-5.68,31.4,-7.5,30.2,-15.3,-8.06,-14.7,-7.4,-33.3,-6.78,-4.47,-0.86,-8.66,-1.18,-0.31,-0.22,47.0
,"=""2390""",,,,,,,,,,,,,,,,,,,,,,,云辰,12.3,-0.15,-1.2,28.0,9.66,-4.04,2.16,-4.16,22.4,-0.93,-0.58,-9.64,0.13,-31.7,1.28,0.3,-0.18,0.33,-0.27,0.08,-0.05,45.0
602.0,"=""2392""",正崴,70.0,-0.3,-0.43,10.0,過高,43.33,57.82,32.78,1.76,2.88,15.0,18.9,11.4,20.1,近高,48.48,1.25,0.89,0.68,1.19,過高,正崴,70.0,-0.3,-0.43,27.0,827,2.9,92.6,4.04,11.2,18.5,6.07,2.23,15.5,-0.34,1.92,2.79,-0.19,6.76,-0.34,3.36,-0.06,39.0
434.0,"=""2393""",億光,82.6,-0.5,-0.6,10.0,過高,47.11,60.33,35.19,1.71,3.09,15.3,16.2,11.4,19.5,近高,40.41,1.88,1.17,0.87,1.49,過高,億光,82.6,-0.5,-0.6,28.0,205,0.95,52.9,1.65,25.9,16.4,1.67,8.03,14.1,1.07,7.03,5.89,-0.15,9.97,-0.34,3.47,-0.02,53.0
