"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"1201",="2923","鼎固-KY","24.45","+0.05","+0.2","10","低","24.9","32.74","19.96","1.64","1.08","23","58.2","18.4","30.2","過高","29.68","0.83","0.84","0.67","1.1","低"
"1202",="6830","汎銓","143","-1.5","-1.04","3","低","141","203","103.4","1.96","5.63","25","58.4","18.4","36","過高","51.9","2.37","2.72","1.99","3.91","近低"
"1203",="5381","合正","23.4","+0.15","+0.65","10","過高","12.61","18.19","7.84","2.32","-0.17","-72.8","58.5","-45.3","-105","","4.25","3.77","2.97","1.84","4.28","近高"
"1204",="8147","正淩","125.5","+1","+0.8","10","過高","61.52","82.12","45.57","1.8","1.82","33.7","58.9","25","45","過高","23.62","4.07","2.6","1.93","3.48","過高"
"1205",="3035","智原","238.5","+1.5","+0.63","10","近高","160.1","257.2","97.63","2.63","4.38","36.6","59","22.3","58.7","過高","32.98","4.75","4.86","2.96","7.8","低"
"1206",="6231","系微","392.5","+7.5","+1.95","10","過高","143.7","239.4","86.65","2.76","4.88","29.4","59.3","17.7","49","過高","22.19","16.8","6.48","3.91","10.8","過高"
"1207",="6164","華興","13.15","-0.25","-1.87","10","近高","11.59","16","9.04","1.77","0.14","85.3","59.8","66.5","118","破低","11.64","1.11","1","0.78","1.37","近高"
"1208",="6751","智聯服務","56.2","-0.3","-0.53","5","近低","68.56","96.14","46.98","2.05","3.16","21.7","59.8","14.9","30.5","過高","34.69","1.45","1.98","1.35","2.77","近低"
"1209",="1760","寶齡富錦","85.1","-0.3","-0.35","7","近低","108.2","157.1","73.6","2.13","1.42","76.4","59.9","52","111","近低","19.53","3.88","5.54","3.77","8.04","近低"
"1210",="3441","聯一光","40.3","+0.65","+1.64","10","近高","34.16","45.5","24.63","1.85","0.51","66.6","60.1","48","88.7","低","19.51","2.09","1.75","1.26","2.33","近高"
"1211",="6505","台塑化","38.7","-0.6","-1.53","10","破低","88.66","104.9","73.59","1.43","3.1","28.6","60.5","23.7","33.8","過高","33.89","1.19","2.62","2.17","3.09","破低"
"1212",="6739","竹陞科技","298","-26.5","-8.17","1","過高","191.1","228","132","1.73","1.33","144","60.6","99.5","172","破低","15.07","9.74","12.7","8.76","15.1","近低"
"1213",="6584","南俊國際","145.5","-5.5","-3.64","2","高","142","197.8","73.87","2.68","1.38","103","60.9","53.4","143","近低","25.54","4.78","5.56","2.89","7.74","低"
"1214",="8064","東捷","52","+1","+1.96","10","過高","22.3","31.52","14.67","2.15","1.31","17","61.2","11.2","24","過高","16.83","2.81","1.32","0.87","1.87","過高"
"1215",="1711","永光","21.45","-0.05","-0.23","10","近高","19.57","25.47","15.88","1.6","0.61","32.2","61.3","26.1","41.9","過高","14.92","1.36","1.31","1.06","1.71","低"
"1216",="1463","強盛新","27.6","+1.1","+4.15","10","過高","16.58","20.38","13.69","1.49","1.02","16.2","61.3","13.4","19.9","過高","13.65","2.02","1.21","1","1.49","過高"
"1217",="6443","元晶","20.25","-1","-4.71","10","近低","25.01","35.33","18.13","1.95","-0.23","-109","61.4","-78.9","-154","","11.25","1.38","2.22","1.61","3.14","破低"
"1218",="2388","威盛","91.4","-2.1","-2.25","10","近高","67.12","103.7","44.24","2.34","2.56","26.2","62.2","17.3","40.5","過高","17.83","2.47","3.76","2.48","5.81","破低"
"1219",="1529","樂事綠能","25.5","-0.45","-1.73","10","近高","17.71","26.34","12.58","2.09","0.36","49.3","62.2","35","73.3","近高","6.97","2.28","2.54","1.8","3.78","低"
"1220",="2483","百容","21.9","-0.4","-1.79","10","近低","22.58","27.88","19.37","1.44","1.01","22.3","62.6","19.1","27.6","過高","22.7","0.94","0.99","0.85","1.23","近低"
"1221",="2231","為升","95.5","-1.3","-1.34","10","破低","185.8","246.4","137.3","1.79","5.66","32.8","62.8","24.3","43.5","過高","29.78","3.23","6.24","4.61","8.28","破低"
"1222",="9928","中視","17.75","-0.35","-1.93","10","過高","9.46","13.86","6.93","2","-0.87","-10.8","63.4","-7.95","-15.9","","4.24","0.51","2.23","1.63","3.26","破低"
"1223",="5220","萬達光電","22.85","-0.05","-0.22","7","破低","31.53","39.26","25.48","1.54","2.84","11.1","63.5","8.97","13.8","過高","18.85","1.16","1.67","1.35","2.08","破低"
"1224",="4768","晶呈科技","168","+6.5","+4.02","3","近低","197.9","272.1","148.8","1.83","2.69","73.6","63.6","55.3","101","近低","26.4","4.64","7.5","5.63","10.3","破低"
"1225",="6756","威鋒電子","130","-1.5","-1.14","5","破低","247.1","379.5","164.7","2.3","6.43","38.4","63.7","25.6","59","過高","41.8","3.23","5.91","3.94","9.08","破低"
"1226",="3379","彬台","71.4","-1.5","-2.06","10","過高","14.72","22.61","10.65","2.12","-0.33","-45","63.8","-32.5","-69.1","","13.52","4.59","1.09","0.79","1.67","過高"
"1227",="2901","欣欣","27.65","+0.15","+0.55","10","近高","25.63","29.87","23.52","1.27","0.32","80.3","64.3","73.7","93.6","破低","11.88","2.3","2.16","1.98","2.51","近高"
"1228",="3491","昇達科","435","+2","+0.46","10","過高","139.2","198.2","96.2","2.06","3.63","38.3","64.3","26.5","54.6","過高","31.6","10.7","4.4","3.04","6.27","過高"
"1229",="1451","年興","20.05","+0.05","+0.25","10","近低","21.44","25.44","18.34","1.39","0.47","45.4","64.7","38.8","53.9","過高","34.08","0.58","0.63","0.54","0.75","近低"
"1230",="2009","第一銅","43.8","-0.1","-0.23","10","過高","27.22","42.25","17.97","2.35","0.28","97.9","65.4","64.6","152","近低","13.13","1.81","2.07","1.37","3.22","低"
"1231",="6658","聯策","73.3","-1.8","-2.4","2","高","54.42","91.8","37.98","2.42","1.77","30.7","67.2","21.4","51.8","過高","31.96","2.03","1.7","1.19","2.87","高"
"1232",="4735","豪展","38.45","-0.3","-0.77","10","近低","49.89","70.39","36.99","1.9","5.09","9.81","67.5","7.27","13.8","過高","21.12","1.55","2.36","1.75","3.33","破低"
"1233",="6877","鏵友益","84.9","-2.6","-2.97","2","近高","51.63","90.05","32.98","2.73","1.07","48.5","67.9","31","84.5","近高","18.44","4.11","2.8","1.79","4.88","近高"
"1234",="3141","晶宏","78.9","-1","-1.25","10","低","83.69","139.5","50.74","2.75","3.43","24.4","68","14.8","40.7","過高","26.82","2.39","3.12","1.89","5.2","低"
"1235",="6125","廣運","90.2","+0.3","+0.33","10","過高","37.21","60.41","23.67","2.55","1.06","35.2","68.9","22.4","57.1","過高","15.68","5.13","2.37","1.51","3.85","過高"
"1236",="1471","首利","13.1","-0.05","-0.38","10","近高","8.92","13.9","6.01","2.31","-0.74","-12.1","68.9","-8.17","-18.9","","8.17","1.34","1.09","0.74","1.7","高"
"1237",="1315","達新","69.5","-0.3","-0.43","10","過高","51.85","61.52","45.86","1.34","6.31","8.22","69.5","7.27","9.75","過高","71.77","0.67","0.72","0.64","0.86","近低"
"1238",="2457","飛宏","34.8","-0.55","-1.56","10","低","34.93","48.95","23.03","2.13","-0.18","-199","69.6","-131","-278","","17.15","1.52","2.04","1.34","2.85","近低"
"1239",="3024","憶聲","18.1","-0.25","-1.36","10","過高","12.52","16.43","10.13","1.62","0.42","29.8","69.6","24.1","39.1","過高","9.8","1.71","1.28","1.03","1.68","過高"
"1240",="5309","系統電","42.5","-1.35","-3.08","10","過高","29.52","40.78","22.34","1.83","0.37","80.4","69.7","60.9","111","近低","11.37","2.64","2.6","1.97","3.59","低"
"1241",="2642","宅配通","34.3","-0.1","-0.29","10","近低","41.74","66.17","30.16","2.19","1.3","32.2","70","23.2","51","過高","21.76","1.55","1.92","1.39","3.04","近低"
"1242",="5274","信驊","3590","-155","-4.14","10","過高","2108","3002","1403","2.14","38.84","54.3","70","36.1","77.3","近高","102.8","28.8","20.5","13.6","29.2","近高"
