"代號","名稱","成交","漲跌價","漲跌幅","統計年數","平均營收(億)","營收成長(%)","平均毛利(億)","毛利成長(%)","平均毛利(%)","平均營益(億)","營益成長(%)","平均營益(%)","平均淨利(億)","淨利成長(%)","平均淨利(%)","平均ROA(%)","平均ROA增減","平均ROE(%)","平均ROE增減","平均EPS(元)","平均EPS增減","平均財報評分"
="2250","IKKA-KY","135.5","-4.5","-3.21","6","37.5","-1.63","6.57","+0.65","17.5","1.65","+0.54","4.4","1.16","+0.79","3.42","3.8","-0.31","10.8","-2.23","4.53","-0.33","43"
="2254","巨鎧精密-創","71","-0.1","-0.14","6","7.15","-11.7","2.25","-20.3","31.4","0.28","-76.8","3.93","0.18","-81","2.5","1.63","-4.66","6.61","-14.5","0.91","-2.38","46"
="2258","鴻華先進-創","47.7","-0.35","-0.73","4","5.44","+274","1.01","+100","18.6","-17.2","-58.3","-316","-13.8","-59.2","-255","-8.44","-2.58","-9.04","-2.93","-0.87","-0.32","49"
="2301","光寶科","107","-5","-4.46","31","1,920","-0.7","292","+1.52","15.2","106","+3.1","5.52","90.5","+4.01","4.98","5.35","+0.02","13","-0.11","3.97","+0.1","46"
="2302","麗正","21.3","-0.35","-1.62","30","9.53","-3.01","1.76","-1.74","18.5","-0.31","-7.63","-3.23","-0.92","-13.1","-9.72","-1.85","+0.02","-2.77","0","-0.38","-0.06","45"
="2303","聯電","43.7","+0.1","+0.23","31","1,510","+5.2","393","+7.69","26","211","+11.5","14","244","+8.33","15.3","5.56","+0.19","8.5","+0.29","1.93","+0.13","61"
="2305","全友","14.5","-0.35","-2.36","30","18.9","-7.35","4.49","-8.47","23.8","-2.25","+1.26","-11.9","-0.73","-51.5","-3.61","-0.6","-0.33","-2.22","-0.74","-0.16","-0.06","46"
="2308","台達電","402","+3","+0.75","31","2,375","+8.57","659","+11.6","27.7","238","+10.6","10","206","+7.79","9.49","9.24","-0.15","16.9","-0.2","8.33","+0.5","55"
="2312","金寶","26.25","-0.2","-0.76","30","896","+8.27","58","+6.88","6.47","13.6","+9.69","1.52","4.97","-1.1","0.68","1.24","-0.19","2.94","-0.28","0.41","-0.03","32"
="2313","華通","68.2","-0.9","-1.3","30","421","+6.5","64.9","+6.47","15.4","37.6","+5.53","8.94","24.4","+9.03","5.81","4.12","+0.14","9.35","+0.31","2.09","+0.14","42"
="2314","台揚","33.25","-0.6","-1.77","30","58.8","-0.84","8.6","-2.46","14.6","-1.93","-18.9","-3.27","-2.07","-20.5","-3.51","-2.81","-0.57","-8.54","-1.51","-0.68","-0.16","37"
="2316","楠梓電","48.3","-0.8","-1.63","30","73.5","-2.7","6.32","-9.43","8.6","0.78","-39.7","1.06","4.58","+6.37","6.01","3.65","+0.09","6.13","+0.08","1.71","+0.15","40"
="2317","鴻海","174","-6.5","-3.6","30","45,893","+5.77","3,001","+4.64","6.54","1,286","+4.16","2.8","1,183","+3.97","2.7","5.25","-0.3","12.9","-0.69","8.84","+0.1","40"
="2321","東訊","15.35","-0.05","-0.32","30","56.5","-8.78","4.46","-11.3","7.89","-1.96","-6.32","-3.46","-1.49","-2.91","-3.4","-3.72","-0.14","-11.1","-0.6","-0.51","-0.05","30"
="2323","中環","10.05","-0.15","-1.47","30","192","-3.74","20.2","-9.53","10.5","-5.68","-41.5","-2.97","-11.1","-3.42","-6.14","-2.14","-0.05","-3.11","-0.22","-0.34","-0.04","42"
="2324","仁寶","38.8","-0.85","-2.14","30","8,184","+3.53","337","+3.49","4.12","123","-0.05","1.51","92.9","-1.1","1.24","3.47","-0.28","10","-0.46","2.31","-0.08","37"
="2327","國巨","566","-17","-2.92","30","311","+8.88","96.5","+8.23","31.1","52.5","+9.15","16.9","34.6","+13.7","11.1","3.57","+0.07","6.96","+0.23","6.55","+0.88","50"
="2328","廣宇","43.55","-0.6","-1.36","30","194","+4.03","19.5","+6.3","10.1","8.4","+9.08","4.33","6.99","+8.65","4.41","4.2","+0.22","6.55","+0.54","1.39","+0.11","43"
="2329","華泰","36.55","-1.55","-4.07","31","138","+1.57","12.3","+6.48","8.97","2.14","+42.2","1.55","-1.46","+17.9","-1.01","0.61","+0.24","-0.84","+0.34","0","+0.04","38"
="2330","台積電","1040","-20","-1.89","31","10,838","+16.7","5,683","+18.7","52.4","4,506","+19.6","41.6","4,050","+18.7","37.4","18.4","+0.13","25.7","+0.44","15.7","+2.42","90"
="2331","精英","22.1","+0.2","+0.91","31","505","-2.72","40.4","-2.66","8","1.77","-26.5","0.35","4.75","-4.16","0.93","1.51","-0.13","3.06","-0.33","0.67","-0.12","40"
="2332","友訊","21.05","-2.05","-8.87","31","237","-2.39","67.7","-2.89","28.6","4.07","-12","1.72","4.7","-8.71","2.33","2.55","-0.22","4.36","-0.42","0.81","-0.1","44"
="2337","旺宏","22","-0.2","-0.9","30","248","+0.52","74.9","+0.4","30.2","10.9","-7.63","4.37","6.79","-24.5","2.54","1.72","+0.09","1.81","+0.22","0.67","-0.14","53"
="2338","光罩","47.25","-0.45","-0.94","30","37.7","+11.6","8.62","+13.5","22.8","3.28","+12.5","8.7","3.78","-1.05","8.54","2.6","-0.32","6.06","-0.4","1.49","-0.02","49"
="2340","台亞","28.15","-0.95","-3.26","31","57.7","-1.6","14.5","-3.21","25.1","4.86","-9.77","8.42","2.54","-14.6","4.26","3.01","-0.4","4.05","-0.63","0.62","-0.11","51"
="2342","茂矽","30.8","-0.45","-1.44","30","125","+4.65","-4.61","-161","-3.7","-31.4","-2.9","-25.2","-35.6","+1.01","-28.8","-10.2","-2.01","-22.4","-3.04","-1.29","-0.28","33"
="2344","華邦電","18.7","+0.1","+0.54","31","490","+5.62","150","+5.65","30.6","29.6","-2.67","6.04","21.2","-6.21","5.11","2.22","-0.11","3.38","-0.18","0.57","-0.07","51"
="2345","智邦","673","-22","-3.17","30","382","+11.7","75.9","+14.7","19.8","32.5","+26.3","8.5","26.8","+23.8","6.99","9.31","+0.71","19.7","+1.71","4.89","+0.89","46"
="2347","聯強","70.5","0","0","30","3,237","+3.9","129","+4.99","4","55.9","+6.95","1.73","71","+2.6","2.28","5.62","-0.2","15.3","-0.33","4.56","+0.04","33"
="2348","海悅","187","-4","-2.09","30","28.6","+15.7","11.3","+10","39.7","7.29","+22.3","25.5","0.88","+52.9","3.49","-0.6","+41.4","-15.2","+160","2.64","+1.76","56"
="2349","錸德","13.1","-0.25","-1.87","30","155","-6.36","8.58","-13.9","5.54","-16","-0.35","-10.3","-25","-1.56","-17.7","-6.27","-0.19","-10.3","-0.34","-1.1","-0.13","36"
="2351","順德","94.3","-1.2","-1.26","30","84.9","+3.74","14.2","+3.96","16.8","7.49","+4.15","8.82","5.21","+5.15","6.7","5.69","+0.08","11.6","+0.05","2.9","+0.13","40"
="2352","佳世達","36.45","+1.35","+3.85","29","1,622","+3.9","200","+6.38","12.3","18.8","-10.1","1.16","20.1","-19","1.63","2.16","-0.47","4.83","-1.5","1.21","-0.23","36"
="2353","宏碁","39.15","-0.7","-1.76","29","3,153","-0.86","316","-0.41","10","47.9","-1.2","1.52","34","+2.41","1.11","1.94","-0.14","5.01","-0.34","1.39","-0.06","37"
="2354","鴻準","76.3","-1.9","-2.43","29","1,069","-3.23","109","-5.08","10.2","65.7","-8.22","6.15","71.2","-2.47","6.64","5.54","-0.44","8.98","-0.93","5.66","-0.26","49"
="2355","敬鵬","35","-1.95","-5.28","30","182","-0.13","22.2","+1.02","12.2","9.95","0","5.46","10.2","+1.68","5.53","4.59","-0.07","7.12","-0.22","2.64","+0.01","47"
="2356","英業達","46.5","-1.45","-3.02","29","4,298","+3.35","206","+3.99","4.78","54.3","+5.02","1.26","56.2","+1.88","1.13","3.01","-0.15","9.46","-0.13","1.73","-0.03","36"
="2357","華碩","682","-16","-2.29","29","4,997","+4.08","629","+3.87","12.6","199","-3.72","3.99","177","-2.49","3.86","6.32","-0.71","12.5","-1.22","13.5","-0.23","42"
="2359","所羅門","157","-3","-1.88","29","76.2","-2.88","9.28","+0.76","12.2","1.59","+2.72","2.09","2.03","+32.7","2.92","3.2","+0.49","4.24","+0.84","1","+0.19","43"
="2360","致茂","339.5","-2.5","-0.73","29","139","+4.8","60.4","+9.76","43.6","23.8","+11.5","17.2","22","+9.62","16.1","11.4","+0.07","18","+0.08","5.6","+0.4","59"
="2362","藍天","49.45","-1.05","-2.08","29","192","+3.16","47.1","+1.95","24.5","14.6","+3.3","7.6","11","+1.17","5.74","1.86","-0.19","5.52","-0.49","1.81","-0.01","39"
="2363","矽統","66.6","-1.2","-1.77","28","29.1","-14.7","7.66","-11.8","26.3","-3.64","+7.24","-12.5","-6.21","-17.7","-21.5","-4.49","-0.62","-5.09","-0.58","-0.49","-0.06","50"
="2364","倫飛","89.7","-1.7","-1.86","28","30.6","-17.2","3.17","-14.3","10.3","-1.77","-10.9","-5.79","-2.36","+5.04","-7.8","-6.57","+0.25","-14.8","+0.99","-0.71","+0.07","33"
="2365","昆盈","47.1","+3.15","+7.17","28","58.6","-7.86","11.6","-7.38","19.8","2.44","-13.2","4.16","2.24","-10.8","3.81","3.54","-0.4","5.46","-0.7","0.9","-0.12","50"
="2367","燿華","29.95","-0.5","-1.64","28","147","+1.36","17.9","-1.24","12.2","1.11","-31","0.76","1.7","-21.6","1.28","1.06","-0.3","2.08","-0.58","0.36","-0.1","36"
="2368","金像電","222","0","0","28","213","+5.42","37.1","+13.7","17.4","17.1","+27.4","8.03","8.6","+32.7","4.03","4.07","+0.78","8.96","+1.53","1.7","+0.41","42"
="2369","菱生","17.4","-0.1","-0.57","29","58.2","-0.56","5.57","-10.1","9.56","0.68","-44.2","1.17","1.3","-16.3","2.24","1.12","-0.45","1.61","-0.62","0.39","-0.08","47"
="2371","大同","42.8","-0.8","-1.83","30","1,069","-2.27","72.4","-2.95","6.77","-61","-0.84","-5.7","-14.8","+7.93","-7.52","-3.27","+0.04","-10.6","+0.1","-0.3","+0.05","34"
="2373","震旦行","65.6","-0.2","-0.3","30","133","-0.05","49","+1.45","37","8.26","+1.11","6.23","8.54","-4.01","6.89","6.58","-0.35","11.9","-1.06","3.41","+0.03","51"
="2374","佳能","61.7","-1.5","-2.37","30","201","-5.9","21","-3.31","10.5","4.74","-11.4","2.36","6.35","-5.77","3.23","3.92","-0.37","7.52","-0.86","1.58","-0.1","46"
="2375","凱美","66.2","-1.3","-1.93","27","34.9","+4.75","4.96","+5.6","14.2","0.48","+72.2","1.37","0.51","-61.9","2.96","-0.89","-1.73","-0.72","-3.11","1.46","-0.61","39"
="2376","技嘉","258.5","-8","-3","27","682","+10.2","115","+5.32","16.8","32.4","+5.15","4.76","34.6","+4.35","5.05","7.87","-0.17","13","-0.06","5.53","+0.16","49"
="2377","微星","185","-10.5","-5.37","27","1,162","+6.38","158","+5.55","13.6","57.3","+6.53","4.93","49.6","+5.79","4.27","7.91","+0.03","15.4","-0.05","5.94","+0.26","44"
="2379","瑞昱","550","-12","-2.14","29","636","+12.1","293","+14.4","46.1","70.4","+14.1","11.1","61.7","+14.2","9.7","10.5","+0.54","23.4","+1.4","11.97","+1.43","60"
="2380","虹光","4.84","-0.01","-0.21","27","29.8","-5.25","7.39","-5.1","24.8","-1.14","-68.4","-3.82","-0.97","-86.4","-3.36","-4.68","-1.45","-9.43","-3.61","-0.47","-0.25","41"
="2382","廣達","250.5","-9.5","-3.65","27","9,842","+2.65","516","+7.85","5.24","226","+10.7","2.3","214","+8.78","2.2","4.07","-0.08","16.3","+0.25","5.74","+0.35","40"
="2383","台光電","632","-1","-0.16","29","270","+17.2","66.1","+22","24.5","42.7","+24","15.8","31.3","+24.7","11.6","11.2","+0.57","22","+1.23","9.54","+1.76","52"
="2385","群光","162.5","-0.5","-0.31","27","798","+4.14","136","+5.78","17.1","56.4","+8.78","7.07","45.7","+8.2","6.67","9.01","+0.08","21.4","-0.27","6.92","+0.39","41"
="2387","精元","69.5","+4.1","+6.27","28","147","+6.73","21.4","+6.83","14.6","10.4","+6.17","7.1","7.45","+6.44","5.26","6.36","-0.31","10.9","-0.28","3","+0.26","44"
="2388","威盛","91.4","-2.1","-2.25","27","104","-5.68","31.4","-7.5","30.2","-15.3","-8.06","-14.7","-7.4","-33.3","-6.78","-4.47","-0.86","-8.66","-1.18","-0.31","-0.22","47"
="2390","云辰","12.3","-0.15","-1.2","28","9.66","-4.04","2.16","-4.16","22.4","-0.93","-0.58","-9.64","0.13","-31.7","1.28","0.3","-0.18","0.33","-0.27","0.08","-0.05","45"
="2392","正崴","70","-0.3","-0.43","27","827","+2.9","92.6","+4.04","11.2","18.5","+6.07","2.23","15.5","-0.34","1.92","2.79","-0.19","6.76","-0.34","3.36","-0.06","39"
="2393","億光","82.6","-0.5","-0.6","28","205","+0.95","52.9","+1.65","25.9","16.4","+1.67","8.03","14.1","+1.07","7.03","5.89","-0.15","9.97","-0.34","3.47","-0.02","53"
="2395","研華","406","-3.5","-0.85","29","451","+4.99","179","+5.38","39.7","75","+3.56","16.6","64.4","+5.62","14.3","15.7","-0.4","22.4","-0.61","9.07","+0.19","66"
="2397","友通","82.5","-1.2","-1.43","29","55.7","+6.63","14.7","+8","26.3","5.1","+3.19","9.16","4.05","+0.54","7.71","8.38","-0.33","11.8","-0.28","3.57","0","57"
="2399","映泰","25.45","-0.45","-1.74","27","38.9","-5.73","4.36","-7.67","11.2","0.7","-25.1","1.81","0.85","-18.1","2.35","2.43","-0.77","3.86","-1.32","0.5","-0.13","42"
="2401","凌陽","29.05","-0.55","-1.86","28","102","-3.84","37.7","-2.83","37.1","5.37","-17","5.29","5.93","-12.5","7.5","4.2","-0.83","5.39","-1.01","0.82","-0.2","58"
="2402","毅嘉","41.15","+0.35","+0.86","27","76.3","+1.86","8.92","+2.07","11.7","2.56","+1.71","3.35","2.46","+2.52","3.03","2.38","-0.03","3.98","-0.07","0.86","-0.01","43"
="2404","漢唐","434.5","-0.5","-0.11","28","196","+22.5","28.1","+14.8","14.3","20.9","+17.2","10.6","17.4","+14.7","9.13","9.45","+0.22","23.7","+1.51","8.54","+1.2","53"
="2405","輔信","21.6","-0.45","-2.04","27","49.8","-4.85","8.38","-1.04","16.8","-0.16","-33.4","-0.32","-0.07","-4.5","-0.17","-0.34","0","-0.13","-0.1","-0.02","-0.02","47"
="2406","國碩","14.95","-0.45","-2.92","27","80.8","-3.27","7.64","-12.1","9.46","-0.97","-50317","-1.2","-4.17","-15.8","-5.27","-2.88","-0.94","-7.11","-1.97","-1.26","-0.19","38"
="2408","南亞科","38.65","-2.75","-6.64","28","457","-1.45","18","+258","3.93","-53.6","+41.2","-11.8","-52.8","+49.3","-11.6","-4.93","+4.54","-38.5","+40.2","0.27","+0.79","48"
="2409","友達","15.25","+0.1","+0.66","28","3,286","-0.5","293","+2.41","8.91","52.1","-4.91","1.58","28.2","+16.2","0.75","0.79","+0.06","1.09","+0.19","0.33","+0.01","45"
="2412","中華電","128","+0.5","+0.39","28","2,178","+0.86","799","+0.09","36.7","475","-0.77","21.8","405","-1.05","19","8.31","-0.17","10.3","-0.12","4.85","-0.01","69"
="2413","環科","24.7","-0.05","-0.2","27","38.7","+2.75","6.2","+1.51","16.1","0.51","+2.18","1.32","0.06","+311","0.12","0.01","+0.16","0.07","+0.45","0.07","+0.01","36"
="2414","精技","37.7","-0.15","-0.4","28","188","+3.49","16.7","+2.28","8.87","4.16","+3.42","2.21","2.87","+4.32","1.6","4.82","-0.01","10","+0.05","1.76","+0.06","33"
="2415","錩新","30.4","+0.35","+1.16","28","19.7","+2.45","4.96","+3.58","25.2","1.64","+1.58","8.33","0.89","-9.39","4.87","2.49","-0.29","5.35","-0.55","1.09","-0.13","44"
="2417","圓剛","51","-1.8","-3.41","28","33.8","+2.18","16.6","+3.58","49.2","2.96","-2.25","8.76","2.59","-3.18","10.2","6.17","-0.24","8.42","-0.36","1.36","-0.08","62"
="2419","仲琦","29.25","-0.7","-2.34","28","90.4","+1.29","19.3","+0.51","21.4","4.03","-2.58","4.46","1.73","-10.8","3.01","3.25","-0.19","6.68","-0.48","0.72","-0.1","42"
="2420","新巨","65.6","+0.6","+0.92","28","28.8","-2.37","10.3","-0.54","35.7","5.13","+1.47","17.8","4.49","+3.32","15.7","9.06","+0.04","16.2","-0.11","3.01","+0.08","58"
="2421","建準","94","-1.5","-1.57","27","101","+3.98","23","+6.57","22.8","6.83","+13.9","6.78","5.66","+15","5.67","6.49","+0.49","13.2","+0.94","2.27","+0.26","47"
="2423","固緯","44.35","+0.05","+0.11","28","23","+3.04","11.2","+3.96","48.8","2.91","+5.66","12.6","2.65","+4.51","11.5","8.56","+0.11","12.4","+0.05","1.99","+0.05","57"
="2424","隴華","57","0","0","28","3.84","-17.2","-0.05","-1333","-1.39","-0.73","-20.5","-19","-0.89","-21.7","-23.4","-15.1","-2.11","-31.1","-1.95","-1.88","-0.07","37"
="2425","承啟","36.55","-0.3","-0.81","28","48.2","+2.12","3.43","+3.01","7.12","1.08","+0.63","2.25","0.57","+11.3","1.45","1.65","+0.09","1.77","+0.24","0.62","+0.03","40"
="2426","鼎元","21.75","-0.2","-0.91","28","31.9","-3.15","4.42","-5.01","13.8","0.35","-43.3","1.11","0.89","-22.9","1.85","1.22","-0.44","1.45","-0.84","0.39","-0.1","44"
="2427","三商電","27.55","-0.15","-0.54","27","29.3","+3.48","8.57","+6.98","29.3","0.69","+44.7","2.35","0.52","+33.8","1.6","1.25","+0.29","2.58","+0.66","0.34","+0.05","40"
="2428","興勤","165","-1","-0.6","28","52.8","+5.48","18.5","+7.49","35","11.1","+7.56","21","9.02","+8.66","17.1","11.1","+0.04","15.9","+0.07","7.12","+0.54","63"
="2429","銘旺科","37.6","-0.7","-1.83","27","6.19","-1.73","0.3","-29.7","4.88","-0.45","-53.8","-7.27","-1.11","-5.8","-19","-5.9","-2.35","-22.8","-12.6","-1.6","-0.02","29"
="2430","燦坤","30.05","-0.2","-0.66","29","289","-0.71","43.2","-1.5","15","6.72","-6.57","2.33","4.87","-7.58","1.35","3.17","-0.22","8.21","-0.72","2.75","-0.17","41"
="2431","聯昌","14.15","-0.55","-3.74","28","24","-5.81","2.27","-9.11","9.47","-0.4","-44.2","-1.66","0.15","-41.8","0.63","0.3","-0.56","0.71","-0.75","0.16","-0.11","39"
="2432","倚天酷碁-創","37.75","-0.55","-1.44","5","18","+23.7","2.82","+23.5","15.7","0.89","+57.6","4.96","1.09","+74.4","6.19","7.44","+1.85","11.8","+1.78","2.11","+0.45","51"
="2433","互盛電","50.4","0","0","27","29.5","+1.4","10.4","+0.67","35.4","4.06","+2.62","13.8","4.57","+1.61","15.8","7.18","+0.17","12.4","+0.23","3.17","+0.04","56"
="2434","統懋","29.7","0","0","27","4.06","-9.18","-0.21","-72","-5.24","-1.03","-8.8","-25.2","-0.87","-13.5","-21.5","-8.4","-1.39","-16","-3.68","-0.89","-0.15","33"
="2436","偉詮電","56.5","-1.3","-2.25","28","23.1","+2.53","5.81","+2.63","25.2","1.32","-6.27","5.74","2.2","-1.78","9.41","5.82","-0.4","7.34","-0.41","1.14","-0.04","57"
="2438","翔耀","37.15","+0.05","+0.13","28","51.1","-11.8","6.37","-14.9","12.5","-0.51","-556","-0.99","-2.5","-25.6","-5.15","-3.88","-1.65","-16.8","-6.59","-0.97","-0.23","37"
="2439","美律","115.5","+3.5","+3.12","28","249","+10.6","36.3","+8.45","14.6","13.2","+6.17","5.32","14.3","+7.34","5.99","8.16","-0.16","16.5","-0.09","7.29","+0.3","48"
="2440","太空梭","12.45","-0.15","-1.19","27","29","+0.89","2.18","-6.58","7.54","0.12","-49.1","0.4","-0.83","-53","-2.88","-2.04","-0.9","-3.95","-1.62","-0.34","-0.16","30"
="2441","超豐","64.3","+0.6","+0.94","28","139","+3.26","35.9","+0.92","25.8","30.6","+0.33","22","22.3","+2.37","16","12.3","-0.37","14.6","-0.47","4.08","+0.04","72"
="2442","新美齊","27.5","-0.05","-0.18","27","50.1","-4.29","5.8","+2.27","11.6","1.17","+26","2.34","1.63","+28.7","3.58","2.14","+0.2","4.99","+1.12","0.68","+0.15","40"
="2444","兆勁","17.7","0","0","27","18.1","-2.68","2.22","-3.56","12.3","-0.22","+9.46","-1.24","-0.32","-20","-1.79","-1.47","-0.06","-2.35","+0.05","-0.19","-0.1","34"
="2449","京元電子","107.5","-3.5","-3.15","27","233","+3.25","68.9","+6.19","29.6","42.5","+7.52","18.3","32.6","+14.9","14.2","6.32","+0.47","12.1","+0.91","2.73","+0.32","59"
="2450","神腦","34.55","+0.05","+0.14","29","307","+1.54","38","-0.61","12.4","5.92","-4.85","1.93","7.3","-1.68","2.38","7.5","-0.35","12.9","-0.63","2.92","-0.07","46"
="2451","創見","89.4","-0.8","-0.89","26","205","-3.9","40.3","-1.21","19.7","26.2","-1.54","12.8","24.5","-0.75","12","12.3","-0.52","14.9","-0.81","5.93","-0.12","62"
="2453","凌群","62.1","-0.9","-1.43","26","48.1","+4.74","11","+6.85","22.9","1.13","+21.6","2.35","1.11","+15","2.28","3.03","+0.36","6.33","+0.83","1.12","+0.14","43"
="2454","聯發科","1515","-45","-2.88","26","2,955","+11.4","1,352","+13.1","45.8","500","+13.9","16.9","511","+14","17.4","13.7","-0.22","19.1","+0.31","34.14","+3.5","71"
="2455","全新","144","-4","-2.7","27","23.5","+3.89","9.16","+4.68","39","5.76","+2.29","24.5","4.7","+6.59","20","11.7","+0.19","15.7","+0.45","2.34","+0.16","73"
="2457","飛宏","34.8","-0.55","-1.56","26","119","+1.13","20.1","+8.18","16.9","1.85","+15.9","1.56","1.94","+6.49","1.56","1.86","-0.06","3.01","-0.08","0.62","-0.02","42"
="2458","義隆","159.5","0","0","28","89.5","+4.46","39.7","+5.98","44.3","18.1","+6.99","20.2","15.4","+6.73","16.4","13.7","+0.28","19.4","+0.6","4.83","+0.34","66"
="2459","敦吉","70.1","0","0","27","97.8","-0.97","12.4","+1.83","12.6","6.04","+1.63","6.18","4.51","+2.41","5.08","6.28","-0.08","11.2","-0.22","3.81","+0.1","49"
="2460","建通","23.65","-0.8","-3.27","27","35.6","-1.31","4.63","-7.37","13","1.11","-26.8","3.13","0.63","-30.3","1.76","1.72","-0.69","2.99","-1.42","0.47","-0.2","36"
="2461","光群雷","20.5","0","0","27","45.8","+3.76","10.5","+2.75","22.9","1.93","-8.53","4.21","1.41","-2.39","2.97","2.49","-0.4","4.41","-0.65","0.99","-0.04","44"
="2462","良得電","27.2","+0.1","+0.37","28","42.8","+0.09","4.97","+3.1","11.6","1.25","+8.35","2.91","1.55","+7.66","3.62","3.98","+0.05","7.99","-0.01","1.45","+0.02","38"
="2464","盟立","79.8","-0.8","-0.99","27","91.5","+1.39","16.8","+0.06","18.4","5.57","-9.05","6.09","4.74","-4.14","5.2","5.65","-0.62","13.6","-1.2","2.62","-0.15","45"
="2465","麗臺","76.7","-4.1","-5.07","27","42.8","-3.99","5.19","-3.47","12.1","-0.94","-23.1","-2.19","-1.2","-17.3","-2.87","-5.37","-0.68","-10.7","-2.16","-0.76","-0.22","31"
="2466","冠西電","84.7","-3","-3.42","28","16.8","-3.96","2.1","-3.69","12.5","-0.52","-24.8","-3.11","0.02","+397","0.07","-0.01","+0.05","0.02","+0.18","0.01","+0.01","36"
="2467","志聖","180.5","-0.5","-0.28","28","41.2","+0.55","13.8","+2.44","33.5","3.91","+2.16","9.49","3.37","+5.43","8.26","6.16","-0.03","13.3","+0.28","2.31","+0.07","48"
="2468","華經","36.65","-1.85","-4.81","28","20.8","-0.66","2.48","-0.91","11.9","0.56","+2.57","2.7","0.54","+2.48","2.57","3.14","+0.01","4.98","-0.05","0.8","0","44"
="2471","資通","56.6","-2.3","-3.9","27","7.27","+2.13","2.64","+4.92","36.3","0.66","+10.2","9.15","0.62","+17.6","8.55","6.46","+0.87","10.2","+1.39","1.34","+0.18","58"
="2472","立隆電","88.7","-1.3","-1.44","27","66.2","+4.91","16","+7.64","24.2","8.16","+9.86","12.3","4.8","+11.4","10.1","6.3","+0.25","10.4","+0.18","3.25","+0.24","49"
="2474","可成","206.5","-2.5","-1.2","28","522","-3.54","195","-4.32","37.4","142","-5.07","27.2","141","+1.77","27.1","9.44","-0.73","14.7","-1.13","19.25","+0.29","71"
="2476","鉅祥","91.7","-1.2","-1.29","28","47.4","+3.14","13.2","+3.42","27.8","6.29","+1.85","13.3","4.49","+4.11","11","7.57","-0.14","10.7","-0.21","2.3","+0.07","60"
="2477","美隆電","28.8","-1.15","-3.84","27","42.7","-3.17","7.89","-5.21","18.5","2.12","-15.7","4.98","3.36","-1.94","8.51","5.66","-0.43","9.83","-0.55","1.63","-0.07","48"
="2478","大毅","45","-0.05","-0.11","28","40.7","+3.7","9.57","+3.35","23.5","4.77","+4.36","11.7","3.9","+4.8","9.76","5.69","-0.02","8.05","+0.04","2.32","+0.08","52"
="2480","敦陽科","157.5","-4","-2.48","28","52.7","+4.66","13.7","+4.05","26.1","5.18","+8.93","9.82","4.37","+3.31","8.28","8.66","+0.32","15.5","+0.95","3.49","+0.15","53"
="2481","強茂","55.2","-0.2","-0.36","27","126","+1.65","26.8","+3.77","21.3","7.88","+2.45","6.25","5.61","+7.25","3.91","2.55","+0.08","5.54","+0.1","1.64","+0.06","39"
="2482","連宇","24.7","-0.4","-1.59","28","9.75","+5.32","3.78","+7.31","38.7","0.54","+40","5.54","0.49","+34.6","4.95","3.81","+0.62","5.11","+0.76","0.74","+0.13","55"
="2483","百容","21.9","-0.4","-1.79","27","17.7","+1.43","3.77","-2.38","21.3","0.76","-14.1","4.28","1.18","-4.79","6.73","3.87","-0.35","5.21","-0.41","1.08","-0.07","52"
="2484","希華","26.75","-0.05","-0.19","28","25.5","+0.06","5.75","-0.71","22.5","2.18","-2.44","8.56","2.01","+0.83","7.6","4.11","-0.01","5.81","-0.06","1.31","-0.01","50"
="2485","兆赫","15.1","-0.25","-1.63","27","82.2","-3.03","10.4","-7.99","12.6","2.37","-25.3","2.89","3.98","-11.8","4.38","2.92","-1.1","3.96","-1.54","1.36","-0.21","45"
="2486","一詮","105.5","-1","-0.94","27","50.1","+1.45","6.59","+0.94","13.2","1.27","-1.69","2.53","0.83","+8.51","1.56","1.35","-0.02","2.23","-0.03","0.47","0","40"
="2488","漢平","55.9","-0.2","-0.36","28","23","+3.14","5.39","+3.25","23.4","2.48","+4.43","10.8","2.34","+5.97","10.2","7.81","+0.22","12.1","+0.19","2.8","+0.17","58"
="2489","瑞軒","18.8","-0.1","-0.53","27","260","-6.97","30","-9.48","11.5","0.83","-44.7","0.32","8.43","-8.89","3.46","3.25","-0.34","5.88","-0.78","1.17","-0.15","44"
="2491","吉祥全","13.85","0","0","27","19.3","-17.4","3.21","-16.7","16.6","-1.23","+16.7","-6.36","-1.01","-25.6","-8.07","-1.97","-0.45","-5.02","-1.17","-2.22","+0.05","38"
="2492","華新科","95.9","-0.7","-0.72","29","265","+3.43","62.6","+1.84","23.7","34.8","-0.69","13.1","27.8","+2.72","12.1","5.75","-0.04","9.96","-0.08","5.74","+0.13","46"
="2493","揚博","96.6","-0.4","-0.41","26","22.8","+4.29","6.83","+8.62","29.9","4","+13.4","17.5","3.04","+13","13.3","8.96","+0.34","13.4","+0.87","2.69","+0.28","56"
="2495","普安","30.15","-0.45","-1.47","25","17.8","-3.44","9.18","-4.35","51.5","2.96","-10.1","16.6","3.34","-8.16","18.7","7.03","-1.05","8.05","-1.04","1.34","-0.18","67"
="2496","卓越","89.8","-1.3","-1.43","24","2.82","+4.96","1.03","+9.69","36.5","0.01","+177","0.25","-0.77","+27.3","-27.3","-20.3","-9.79","-91.1","+59.8","0.13","+0.56","41"
