"代號","名稱","成交","漲跌價","漲跌幅","統計年數","平均營收(億)","營收成長(%)","平均毛利(億)","毛利成長(%)","平均毛利(%)","平均營益(億)","營益成長(%)","平均營益(%)","平均淨利(億)","淨利成長(%)","平均淨利(%)","平均ROA(%)","平均ROA增減","平均ROE(%)","平均ROE增減","平均EPS(元)","平均EPS增減","平均財報評分"
="2029","盛餘","26.35","+0.5","+1.93","29","140","-1.46","14.9","-1.71","10.7","7.64","-1.23","5.45","5.71","-0.02","4.08","5.27","-0.04","6.34","-0.14","1.79","-0.01","54"
="2030","彰源","18.9","+0.15","+0.8","27","131","+0.29","13.6","-2.55","10.4","5.5","-4.58","4.19","2.83","-6.83","2.15","2.67","-0.3","7.36","-0.72","1.11","-0.11","31"
="2031","新光鋼","52.4","+0.1","+0.19","28","106","+7.84","9.44","+9.2","8.94","6.5","+6.68","6.15","7.06","+15.1","6.82","4.36","+0.33","9.98","+0.84","2.42","+0.24","35"
="2032","新鋼","21.45","-0.25","-1.15","28","28.9","-1.7","1.35","-8.35","4.66","0.42","-21.6","1.45","0.51","-14.9","1.78","2.09","-0.38","2.65","-0.55","0.46","-0.09","41"
="2033","佳大","23.1","-0.1","-0.43","28","7.74","-4.88","0.81","-7","10.5","0.07","-28.2","0.85","0.22","-10.2","2.79","0.88","-0.22","1.08","-0.28","0.28","-0.03","38"
="2034","允強","27.55","0","0","28","185","-2.18","17.3","-3.19","9.4","7.97","-5.74","4.32","5.85","-10.5","3.17","4.81","-0.77","7.82","-1.31","1.6","-0.24","36"
="2038","海光","20","-0.2","-0.99","21","88.5","-0.6","2.04","+3.34","2.3","0.23","+11.3","0.26","0.65","-10.9","0.71","0.61","-0.09","1.38","-0.15","0.4","-0.06","31"
="2049","上銀","313","-32.5","-9.41","24","199","+4.52","68.5","+2.4","34.4","30","-1.64","15.1","24.6","-0.43","11.3","6.66","-0.39","13.5","-1.06","8.19","-0.18","51"
="2059","川湖","1990","-60","-2.93","23","53.8","+13.2","31.1","+18.9","57.7","25.1","+21.9","46.7","21","+25.5","38.9","17.1","+0.87","21.3","+0.98","22.24","+4.38","87"
="2062","橋椿","30.5","-0.7","-2.24","19","68.8","+2.4","11.4","-2.16","16.5","4.59","-3.41","6.67","4.11","-1.58","6.01","4.75","-0.49","7.94","-0.7","2.38","-0.09","44"
="2069","運錩","19.2","-0.35","-1.79","10","108","+4.79","8.52","-7.88","7.86","2.75","-19.6","2.54","2.33","-26","2.15","2.72","-1.02","6.79","-2.41","1.56","-0.55","31"
="2101","南港","47.35","-0.2","-0.42","30","104","-2.07","19.3","-2.66","18.6","5.83","-6.25","5.62","4.48","-11.6","4.31","2.31","-0.4","4.24","-0.78","0.68","-0.14","39"
="2102","泰豐","18.55","+0.05","+0.27","30","55.3","-7.42","8.87","-11.1","16","-1.06","-1372","-1.92","-3.36","-71.9","-6.03","-2.35","-1.24","-5.78","-2.52","-0.57","-0.33","40"
="2103","台橡","21.9","+0.1","+0.46","30","294","+1.28","43.8","-1.83","14.9","23.8","-5.41","8.1","16","-4.8","6.51","7.13","-0.51","12","-0.79","2.16","-0.13","47"
="2104","國際中橡","12.5","-0.5","-3.85","30","198","-0.43","38.7","-6.21","19.5","21.8","-9.24","11","12.5","-13.7","6.11","3.2","-0.54","5.39","-0.93","1.87","-0.3","48"
="2105","正新","50.4","+0.1","+0.2","30","1,028","+0.39","250","+0.64","24.3","115","-0.64","11.2","82.1","-1.34","8.07","6.01","-0.24","12.7","-0.8","2.91","-0.13","53"
="2106","建大","28.05","-0.35","-1.23","30","299","+2.83","62.5","+2.04","20.9","18.8","-2.81","6.29","14.9","-3.56","5.04","4.87","-0.39","9.67","-0.7","1.95","-0.11","48"
="2107","厚生","26.35","+0.1","+0.38","30","27.4","-4.32","11.7","-5.71","42.6","8.84","-6.73","32.3","8.26","+0.05","30.1","7.25","-0.31","9.02","-0.45","1.83","+0.03","64"
="2108","南帝","33.95","-0.1","-0.29","30","117","-0.67","35.1","-1.13","29.9","22.6","-2.99","19.3","15","-1.24","13.3","14.5","-0.68","17.9","-0.91","3.26","-0.07","67"
="2109","華豐","18.7","+0.05","+0.27","27","60.8","-1.46","11.4","-0.1","18.7","3.41","+4.63","5.61","0.84","+44.2","3.09","2.27","+0.36","4.12","+0.56","0.33","+0.09","44"
="2114","鑫永銓","93.2","+0.9","+0.98","22","17","-0.81","6.34","+0.68","37.2","4.64","+1.26","27.2","4.43","+0.79","26","15.5","-0.45","19.4","-0.8","6.31","-0.06","79"
="2115","六暉-KY","30.2","-0.25","-0.82","14","27.7","+0.08","6.3","-1.08","22.8","3.18","-4.9","11.5","2.86","-5.05","10.4","7.24","-0.66","11.8","-1.07","3.24","-0.24","56"
="2201","裕隆","49.95","-0.35","-0.7","30","770","+1.67","147","+4.66","19.1","5.45","-43.6","0.71","10.9","-29.8","2.69","2.07","-0.28","3.89","-0.71","0.81","-0.24","37"
="2204","中華","79.4","-0.2","-0.25","30","393","-2.25","59.4","-1.37","15.1","18.3","-0.08","4.67","25.2","+4.83","6.87","4.19","+0.36","5.42","+0.35","2.09","+0.25","50"
="2206","三陽工業","69.4","-0.2","-0.29","29","381","+6.92","71.7","+7.7","18.8","11.7","+58.5","3.08","13.9","+33.1","3.82","3.52","+0.71","9.2","+1.88","1.72","+0.43","42"
="2207","和泰車","620","+3","+0.49","29","1,707","+7.04","220","+14","12.9","105","+22.4","6.16","71.7","+21.8","5.06","5.6","+0.01","19.3","+1.04","13.09","+2.28","41"
="2208","台船","16.95","+0.3","+1.8","22","208","-2.54","-13.9","-56.7","-6.67","-19.3","-33.1","-9.28","-12.7","-91.8","-6.13","-5.84","-1.88","-23.8","-7.33","-1.75","-0.57","31"
="2211","長榮鋼","95.5","+0.6","+0.63","23","108","+1.08","25.7","+15.2","23.8","20","+21","18.6","18.2","+36.2","20.8","8.25","+0.99","10.8","+1.32","4.46","+1.13","61"
="2227","裕日車","80","-2","-2.44","21","295","-0.81","42.5","-2.57","14.4","7.9","-8.25","2.68","42.8","-5.07","14.5","15.8","-0.87","20.6","-1.16","14.26","-0.76","56"
="2228","劍麟","99.9","+1.1","+1.11","19","38.1","+5.2","10.4","+3.49","27.1","4.61","+3.79","12.1","4.23","+3.99","11.1","10.5","-0.43","14","-0.46","5.79","+0.17","59"
="2231","為升","95.5","-1.3","-1.34","18","34.9","+6.49","15.6","+3.68","44.7","7.47","-5.81","21.4","6.62","-4.64","17.4","12.1","-1.85","19.4","-2.74","6.26","-0.58","63"
="2233","宇隆","217.5","-5.5","-2.47","15","26.4","+7.06","9.08","+5.59","34.4","4.71","+3.79","17.8","4.23","+7.14","15.7","11","-0.27","16","-0.5","7.51","+0.11","62"
="2236","百達-KY","123.5","-2.5","-1.98","12","16.5","+2.22","4.61","+5.33","28","1.43","+4.26","8.69","0.91","+10.4","5.94","4.68","-0.02","7.81","-0.04","2.21","+0.08","45"
="2239","英利-KY","38.5","-0.3","-0.77","11","209","+5.87","32.2","+0.51","15.4","10.4","-10.4","4.99","6.17","-16.3","3.98","3.38","-0.89","7.46","-1.92","5.47","-1.14","42"
="2241","艾姆勒","31.15","-0.75","-2.35","11","7.64","+1.25","0.68","-20.8","8.84","-1.16","-38","-15.2","-1.15","-37.9","-16.1","-4.07","-1.51","-7.22","-2.34","-1.16","-0.3","35"
="2243","宏旭-KY","17.45","-0.15","-0.85","10","16.3","-1.11","0.9","-34.1","5.54","-0.71","-103","-4.34","-0.98","-51.5","-6.01","-2.8","-1.02","-15.5","-6.09","-1.86","-0.54","19"
