"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"901",="3093","港建*","25.85","-0.1","-0.39","10","破低","44.6","63.12","26.5","2.38","3.27","13.6","26.6","8.09","19.3","過高","19.01","3.82","2.35","1.39","3.32","過高"
"902",="6691","洋基工程","442.5","-3.5","-0.78","3","過高","308.8","409.9","231.2","1.77","18.56","16.6","26.7","12.5","22.1","過高","65.1","8.25","4.74","3.55","6.3","過高"
"903",="6219","富旺","44.1","+0.55","+1.26","10","過高","19.09","26.39","13.78","1.91","-0.06","-310","26.7","-224","-428","","11.19","3.12","1.71","1.23","2.36","過高"
"904",="6666","羅麗芬-KY","52.4","-0.4","-0.76","7","破低","85.85","115.7","68.13","1.7","3.83","22.4","26.7","17.8","30.2","近高","34.63","1.46","2.48","1.97","3.34","破低"
"905",="1464","得力","18.45","-0.15","-0.81","10","近高","17.94","21.91","14.96","1.46","0.64","27.9","26.7","23.2","34","近低","13.16","1.41","1.36","1.14","1.66","近高"
"906",="3628","盈正","43.8","-1.05","-2.34","10","低","41.73","53.79","34.79","1.55","1.85","22.6","26.9","18.8","29.1","近高","35.3","1.19","1.18","0.99","1.52","低"
"907",="3152","璟德","167","-0.5","-0.3","10","破低","271.1","384.6","187.4","2.05","8.52","31.8","26.9","22","45.1","低","51.57","3.06","5.26","3.63","7.46","破低"
"908",="8917","欣泰","63.5","0","0","10","近低","67.73","77.49","60.92","1.27","2.22","30.5","26.9","27.4","34.9","破低","16.3","3.89","4.15","3.74","4.75","近低"
"909",="4904","遠傳","89.9","-0.1","-0.11","10","過高","73.71","82.08","66.9","1.23","3.02","24.4","26.9","22.1","27.1","近高","21.65","3.71","3.4","3.09","3.79","近高"
"910",="8467","波力-KY","267.5","0","0","10","過高","81.72","134.6","53.94","2.49","4.06","20.1","26.9","13.3","33.2","近高","31.44","5.31","2.6","1.72","4.28","過高"
"911",="6126","信音","27.75","-0.25","-0.89","10","近高","22.02","29.62","17.38","1.7","1.3","16.9","26.9","13.4","22.8","過高","14.43","1","1.53","1.2","2.05","破低"
