"排名","代號","名稱","成交","漲跌價","漲跌幅","統計年數","股價目前落點","歷年股價平均","歷年股價高點平均","歷年股價低點平均","股價高低價差(倍)","平均EPS","平均PER","目前PER","平均最低PER","平均最高PER","PER目前落點","平均BPS","目前PBR","平均PBR","平均最低PBR","平均最高PBR","PBR目前落點"
"866",="6206","飛捷","152.5","-10.5","-6.44","10","過高","76.67","91.36","64.08","1.43","5.2","14.7","25.6","12.3","17.6","過高","31.6","4.54","2.43","2.03","2.89","過高"
"867",="3227","原相","271.5","-4","-1.45","10","過高","140.1","198","102","1.94","7.15","19.6","25.6","14.3","27.7","近高","58.74","3.65","2.39","1.74","3.37","過高"
"868",="1225","福懋油","45.65","-1.95","-4.1","10","近低","59.25","87.2","41.38","2.11","1.64","36.2","25.6","25.3","53.2","近低","15.12","3.02","3.92","2.74","5.77","近低"
"869",="6863","永道-KY","247.5","-3","-1.2","2","近高","193","296","133.3","2.22","5.3","36.4","25.6","25.1","55.8","近低","67.22","3.19","2.87","1.98","4.4","高"
"870",="6195","詩肯","34.95","-0.05","-0.14","10","破低","45.63","52.79","38.68","1.36","3.92","11.6","25.7","9.86","13.5","過高","24.74","1.36","1.84","1.56","2.13","破低"
"871",="7704","明遠精密","75","-0.2","-0.27","1","破低","79.53","85.2","76.3","1.12","3.74","21.3","25.8","20.4","22.8","過高","33.37","2.15","2.38","2.29","2.55","破低"
"872",="1590","亞德客-KY","970","+26","+2.75","10","近高","765","997.6","567.1","1.76","25.04","30.6","25.8","22.6","39.8","近低","144.5","4.16","5.29","3.92","6.9","近低"
"873",="4163","鐿鈦","110.5","0","0","10","低","111.4","135.8","91.56","1.48","6.83","16.3","25.9","13.4","19.9","過高","42.76","2.16","2.6","2.14","3.18","近低"
"874",="2330","台積電","1040","-20","-1.89","10","過高","504.2","615.6","372.9","1.65","27.93","18.1","26","13.4","22","過高","103.2","6.76","4.88","3.61","5.96","過高"
"875",="4439","冠星-KY","103","0","0","6","近低","124.8","157.6","102.7","1.53","11.65","10.7","26","8.82","13.5","過高","79.83","1.22","1.56","1.29","1.97","破低"
"876",="3434","哲固","29.95","0","0","10","過高","21.32","29.82","16.88","1.77","0.65","33","26","26.1","46.1","破低","11.11","2.51","1.92","1.52","2.68","近高"
"877",="3675","德微","206","+1","+0.49","10","近高","175.3","255.5","114.7","2.23","6.06","28.9","26.1","18.9","42.2","低","32.63","4.08","5.37","3.51","7.83","近低"
"878",="5906","台南-KY","56.1","0","0","10","過高","34.71","48.42","24.45","1.98","0.63","54.8","26.1","38.6","76.4","破低","12.03","2.72","2.89","2.03","4.03","低"
"879",="6957","裕慶-KY","220","-5","-2.22","1","近低","236","306","196.5","1.56","14.38","16.4","26.1","13.7","21.3","過高","34.59","4.78","6.82","5.68","8.85","破低"
"880",="1314","中石化","8.36","+0.02","+0.24","10","破低","10.42","13.21","8.46","1.56","0.44","23.5","26.1","19","29.8","近高","21.85","0.4","0.48","0.39","0.6","近低"
"881",="3706","神達","70.3","-0.4","-0.57","10","過高","34.79","50.4","27.34","1.84","4.6","7.57","26.1","5.95","11","過高","44.38","1.42","0.78","0.62","1.14","過高"
"882",="6155","鈞寶","25.35","-0.05","-0.2","10","低","24.58","32.23","20.17","1.6","1.07","22.9","26.1","18.8","30.1","近高","17.2","1.31","1.43","1.17","1.87","近低"
"883",="4153","鈺緯","40.8","+1.15","+2.9","10","近高","34.45","48.7","26.87","1.81","0.33","106","26.2","82.3","149","破低","17.09","2.32","2.02","1.57","2.85","近高"
